spark.kryoserializer.buffer,spark.sql.autoBroadcastJoinThreshold,spark.sql.shuffle.partitions,spark.scheduler.revive.interval,spark.executor.memoryOverhead,spark.shuffle.file.buffer,spark.executor.cores,spark.executor.instances,spark.executor.memory,spark.default.parallelism,runtime
117.0,13639741.0,290.0,960.0,718.0,40.0,3.0,5.0,7.0,344.0,1502.8517
117.0,13639741.0,290.0,960.0,697.0,38.0,2.0,6.0,7.0,420.0,1503.2762
123.0,12329020.0,290.0,949.0,609.0,38.0,2.0,6.0,5.0,420.0,1506.1025
117.0,13725185.0,300.0,811.0,697.0,38.0,2.0,6.0,7.0,420.0,1503.276
108.0,9137665.0,300.0,809.0,835.0,37.0,2.0,7.0,7.0,223.0,1497.551
126.0,9098001.0,258.0,621.0,839.0,46.0,3.0,8.0,7.0,223.0,1472.8466
126.0,9098001.0,258.0,621.0,839.0,46.0,3.0,8.0,7.0,223.0,1472.8466
108.0,9096869.0,258.0,621.0,833.0,37.0,2.0,7.0,7.0,222.0,1472.7554
108.0,9096869.0,258.0,621.0,835.0,37.0,2.0,7.0,5.0,298.0,1472.7554
108.0,9096869.0,258.0,621.0,697.0,44.0,2.0,5.0,5.0,298.0,1472.7554
116.0,8482388.0,258.0,680.0,828.0,44.0,2.0,5.0,4.0,368.0,1470.0103
128.0,8482388.0,258.0,680.0,828.0,44.0,2.0,5.0,4.0,368.0,1470.0103
116.0,9093589.0,258.0,680.0,828.0,44.0,2.0,5.0,4.0,368.0,1470.0103
116.0,9094868.0,258.0,680.0,828.0,44.0,2.0,5.0,4.0,368.0,1470.0103
110.0,8482388.0,296.0,680.0,828.0,44.0,2.0,5.0,4.0,368.0,1470.0078
116.0,8482388.0,259.0,680.0,828.0,44.0,2.0,5.0,4.0,354.0,1469.0784
116.0,8482388.0,296.0,649.0,828.0,44.0,2.0,5.0,3.0,367.0,1470.0078
116.0,8482388.0,296.0,649.0,820.0,44.0,2.0,6.0,4.0,367.0,1470.0078
116.0,8482388.0,296.0,649.0,820.0,44.0,2.0,6.0,4.0,368.0,1470.0078
113.0,8487508.0,295.0,680.0,828.0,44.0,2.0,5.0,4.0,367.0,1470.0078
113.0,8482368.0,296.0,649.0,820.0,44.0,2.0,6.0,4.0,367.0,1470.0078
116.0,8479785.0,295.0,680.0,704.0,48.0,2.0,5.0,5.0,367.0,1470.0078
116.0,8482388.0,296.0,649.0,820.0,44.0,2.0,6.0,4.0,368.0,1470.0078
113.0,8487468.0,295.0,680.0,828.0,44.0,2.0,6.0,4.0,367.0,1470.0078
116.0,8482389.0,296.0,649.0,820.0,44.0,2.0,5.0,5.0,368.0,1470.0078
113.0,8487468.0,296.0,649.0,828.0,44.0,2.0,5.0,4.0,367.0,1470.0078
113.0,8815188.0,296.0,649.0,830.0,44.0,2.0,6.0,3.0,367.0,1470.0078
125.0,8487508.0,295.0,680.0,845.0,44.0,2.0,5.0,5.0,367.0,1470.0078
116.0,8487478.0,295.0,680.0,845.0,44.0,1.0,5.0,5.0,367.0,1470.0078
116.0,8486825.0,296.0,649.0,820.0,44.0,2.0,5.0,4.0,368.0,1470.0078
