spark.memory.offHeap.size,spark.kryoserializer.buffer,runtime
0.0,74.0,250.34491539001465
0.0,76.0,250.34491539001465
240.0,76.0,250.34491539001465
0.0,77.0,250.34491539001465
513.0,95.0,250.34491539001465
784.0,121.0,250.34491539001465
6.0,126.0,250.34491539001465
192.0,40.0,250.34491539001465
192.0,83.0,250.34491539001465
0.0,83.0,250.34491539001465
704.0,88.0,250.34491539001465
578.0,107.0,250.34491539001465
9.0,72.0,250.34491539001465
13.0,83.0,250.34491539001465
192.0,108.0,250.34491539001465
652.0,82.0,250.34491539001465
200.0,95.0,250.34491539001465
136.0,119.0,250.34491539001465
521.0,106.0,250.34491539001465
716.0,95.0,250.34491539001465
129.0,107.0,250.34491539001465
141.0,83.0,250.34491539001465
140.0,71.0,250.34491539001465
192.0,58.0,250.34491539001465
457.0,77.0,250.34491539001465
537.0,58.0,250.34491539001465
137.0,106.0,250.34491539001465
140.0,124.0,250.34491539001465
192.0,118.0,250.34491539001465
897.0,119.0,250.34491539001465
