spark.executor.cores,spark.executor.memoryOverhead,spark.executor.memory,spark.memory.storageFraction,spark.shuffle.file.buffer,spark.default.parallelism,runtime
3.0,725.0,7.0,0.5952380952380952,31.0,283.0,177.53663999999986
4.0,695.0,5.0,0.6587301587301587,30.0,367.0,181.03675999999993
4.0,836.0,5.0,0.7158730158730159,31.0,285.0,180.9805799999999
3.0,828.0,6.0,0.6460317460317461,27.0,293.0,182.37832999999992
4.0,853.0,7.0,0.5952380952380952,27.0,283.0,181.59271999999982
4.0,838.0,7.0,0.5380952380952381,27.0,283.0,180.69882999999984
4.0,732.0,6.0,0.7095238095238096,27.0,394.0,180.39539999999994
3.0,725.0,6.0,0.5190476190476191,28.0,368.0,180.57875999999985
3.0,725.0,6.0,0.7031746031746031,28.0,368.0,179.27665999999988
3.0,669.0,6.0,0.607936507936508,21.0,328.0,181.32422999999994
3.0,875.0,6.0,0.6396825396825396,22.0,349.0,181.47207999999995
3.0,860.0,7.0,0.6523809523809524,26.0,363.0,182.54764999999995
4.0,794.0,7.0,0.5317460317460317,20.0,428.0,182.59592999999987
4.0,869.0,6.0,0.6015873015873016,21.0,367.0,183.12127999999987
3.0,762.0,6.0,0.5190476190476191,29.0,320.0,181.50328999999988
3.0,866.0,6.0,0.5190476190476191,17.0,388.0,182.6983399999999
4.0,723.0,7.0,0.6015873015873016,22.0,282.0,176.63336999999984
3.0,809.0,6.0,0.5634920634920635,23.0,290.0,181.80806999999987
4.0,782.0,6.0,0.5698412698412698,24.0,290.0,181.80806999999987
4.0,754.0,6.0,0.7222222222222222,23.0,290.0,182.30556999999993
4.0,812.0,6.0,0.5571428571428572,20.0,285.0,180.61518999999987
4.0,672.0,5.0,0.6841269841269841,23.0,282.0,180.5715
4.0,731.0,5.0,0.6841269841269841,31.0,282.0,178.2848699999999
3.0,784.0,7.0,0.6142857142857143,19.0,283.0,181.85387999999983
3.0,793.0,5.0,0.5253968253968254,20.0,280.0,180.82858999999982
4.0,765.0,7.0,0.6523809523809524,23.0,283.0,181.5873299999999
4.0,755.0,5.0,0.6587301587301587,23.0,283.0,181.71963999999988
3.0,674.0,5.0,0.626984126984127,31.0,319.0,179.9673399999999
3.0,674.0,5.0,0.6777777777777778,31.0,340.0,179.09493999999972
3.0,693.0,7.0,0.5825396825396826,21.0,340.0,182.95632999999987
