spark.executor.instances,spark.executor.memoryOverhead,runtime
7.0,725.0,169.51279
8.0,729.0,165.30206
8.0,704.0,171.4174
7.0,809.0,176.26155
8.0,719.0,165.30206
8.0,697.0,171.4174
8.0,732.0,165.30206
7.0,725.0,169.51279
7.0,778.0,176.26155
6.0,721.0,174.15117
7.0,734.0,169.51279
7.0,771.0,176.26155
7.0,851.0,176.26155
7.0,770.0,176.26155
8.0,695.0,171.4174
8.0,694.0,171.4174
8.0,729.0,165.30206
7.0,735.0,169.51279
7.0,855.0,176.26155
6.0,720.0,174.15117
8.0,721.0,165.30206
7.0,732.0,169.51279
8.0,734.0,165.30206
7.0,797.0,176.26155
7.0,720.0,169.51279
6.0,840.0,179.26115
7.0,820.0,176.26155
8.0,700.0,171.4174
7.0,776.0,176.26155
7.0,758.0,176.26155
