spark.executor.cores,spark.executor.memory,spark.executor.instances,runtime
3.0,7.0,8.0,178.6029125238095
4.0,7.0,8.0,178.6029125238095
4.0,6.0,8.0,184.0765906071426
3.0,7.0,8.0,178.6029125238095
4.0,7.0,8.0,178.6029125238095
4.0,6.0,8.0,184.0765906071426
4.0,7.0,7.0,184.43750098015872
4.0,6.0,8.0,184.0765906071426
3.0,7.0,7.0,184.43750098015872
3.0,7.0,8.0,178.6029125238095
3.0,7.0,8.0,178.6029125238095
3.0,7.0,8.0,178.6029125238095
4.0,6.0,8.0,184.0765906071426
4.0,7.0,8.0,178.6029125238095
4.0,5.0,8.0,189.9743529166665
4.0,6.0,8.0,184.0765906071426
3.0,7.0,8.0,178.6029125238095
3.0,6.0,8.0,184.0765906071426
3.0,7.0,8.0,178.6029125238095
4.0,7.0,8.0,178.6029125238095
4.0,6.0,8.0,184.0765906071426
3.0,7.0,8.0,178.6029125238095
4.0,7.0,8.0,178.6029125238095
4.0,6.0,8.0,184.0765906071426
4.0,6.0,8.0,184.0765906071426
3.0,7.0,7.0,184.43750098015872
3.0,7.0,8.0,178.6029125238095
4.0,7.0,8.0,178.6029125238095
4.0,5.0,8.0,189.9743529166665
3.0,7.0,7.0,184.43750098015872
