spark.executor.memoryOverhead,spark.broadcast.blockSize,spark.reducer.maxBlocksInFlightPerAddress,spark.kryoserializer.buffer,runtime
384.0,48.0,1865003856.0,102.0,197.15441129014508
617.0,43.0,1534266366.0,75.0,197.15441129014508
384.0,37.0,1133367437.0,123.0,197.15441129014508
614.0,36.0,1356039934.0,77.0,197.15441129014508
631.0,49.0,1126804736.0,35.0,197.15441129014508
870.0,57.0,1710282110.0,87.0,197.15441129014508
631.0,51.0,1254775808.0,83.0,197.15441129014508
870.0,45.0,1602962476.0,80.0,197.15441129014508
386.0,39.0,1393132496.0,71.0,197.15441129014508
611.0,49.0,1592034558.0,80.0,197.15441129014508
650.0,47.0,1936459265.0,52.0,197.15441129014508
607.0,49.0,1584539262.0,53.0,197.15441129014508
569.0,63.0,1641785728.0,112.0,197.15441129014508
873.0,37.0,1584629246.0,32.0,197.15441129014508
650.0,59.0,1629121232.0,96.0,197.15441129014508
627.0,33.0,1559754350.0,127.0,197.15441129014508
652.0,48.0,1279159360.0,85.0,197.15441129014508
630.0,33.0,1567816766.0,80.0,197.15441129014508
653.0,47.0,1671147009.0,46.0,197.15441129014508
825.0,48.0,1809368528.0,64.0,197.15441129014508
642.0,55.0,1671975816.0,81.0,197.15441129014508
626.0,33.0,1945605422.0,64.0,197.15441129014508
406.0,48.0,1748521920.0,83.0,197.15441129014508
855.0,48.0,2139617662.0,77.0,197.15441129014508
652.0,47.0,1735025280.0,83.0,197.15441129014508
609.0,49.0,1486355502.0,77.0,197.15441129014508
658.0,63.0,1679450752.0,106.0,197.15441129014508
855.0,41.0,2056315262.0,78.0,197.15441129014508
634.0,55.0,1903112832.0,68.0,197.15441129014508
855.0,57.0,1508220286.0,77.0,197.15441129014508
