spark.executor.cores,spark.executor.instances,runtime
3.0,8.0,186.51994
4.0,8.0,186.51994
3.0,8.0,186.51994
4.0,8.0,186.51994
3.0,8.0,186.51994
3.0,8.0,186.51994
3.0,8.0,186.51994
4.0,8.0,186.51994
3.0,8.0,186.51994
4.0,8.0,186.51994
3.0,8.0,186.51994
4.0,8.0,186.51994
4.0,8.0,186.51994
4.0,8.0,186.51994
3.0,8.0,186.51994
4.0,8.0,186.51994
4.0,8.0,186.51994
4.0,8.0,186.51994
3.0,8.0,186.51994
4.0,8.0,186.51994
3.0,8.0,186.51994
4.0,8.0,186.51994
4.0,8.0,186.51994
3.0,8.0,186.51994
3.0,8.0,186.51994
3.0,8.0,186.51994
3.0,8.0,186.51994
3.0,8.0,186.51994
3.0,8.0,186.51994
3.0,8.0,186.51994
