spark.executor.cores,spark.executor.memory,spark.executor.instances,runtime
3.0,7.0,8.0,194.57205882352943
3.0,7.0,7.0,195.02621818181825
4.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
3.0,7.0,8.0,194.57205882352943
3.0,7.0,7.0,195.02621818181825
3.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
3.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
3.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
3.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
3.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
4.0,7.0,8.0,194.57205882352943
3.0,7.0,8.0,194.57205882352943
3.0,7.0,7.0,195.02621818181825
4.0,7.0,8.0,194.57205882352943
3.0,7.0,8.0,194.57205882352943
3.0,7.0,8.0,194.57205882352943
3.0,7.0,7.0,195.02621818181825
4.0,7.0,8.0,194.57205882352943
