spark.executor.cores,spark.executor.memory,spark.executor.instances,runtime
3.0,7.0,8.0,177.9527448070971
3.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
3.0,7.0,8.0,177.9527448070971
3.0,7.0,8.0,177.9527448070971
3.0,4.0,8.0,178.12200294953433
4.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
3.0,7.0,8.0,177.9527448070971
3.0,4.0,8.0,178.12200294953433
4.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
3.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
3.0,7.0,8.0,177.9527448070971
3.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
3.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
3.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
3.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
4.0,7.0,8.0,177.9527448070971
