spark.executor.cores,spark.executor.memory,spark.executor.instances,runtime
3.0,6.0,8.0,272.54655141829465
4.0,4.0,8.0,194.6399887344496
4.0,6.0,8.0,194.6399887344496
4.0,7.0,8.0,194.6399887344496
4.0,4.0,8.0,194.6399887344496
4.0,6.0,8.0,194.6399887344496
4.0,7.0,8.0,194.6399887344496
4.0,6.0,8.0,194.6399887344496
4.0,6.0,8.0,194.6399887344496
4.0,7.0,8.0,194.6399887344496
4.0,7.0,8.0,194.6399887344496
4.0,6.0,8.0,194.6399887344496
4.0,4.0,8.0,194.6399887344496
4.0,7.0,8.0,194.6399887344496
4.0,3.0,8.0,194.6399887344496
4.0,5.0,8.0,194.6399887344496
4.0,5.0,8.0,194.6399887344496
4.0,5.0,8.0,194.6399887344496
4.0,4.0,8.0,194.6399887344496
4.0,5.0,8.0,194.6399887344496
4.0,4.0,8.0,194.6399887344496
4.0,4.0,8.0,194.6399887344496
4.0,6.0,8.0,194.6399887344496
4.0,4.0,8.0,194.6399887344496
4.0,6.0,8.0,194.6399887344496
4.0,5.0,8.0,194.6399887344496
4.0,6.0,8.0,194.6399887344496
4.0,4.0,8.0,194.6399887344496
4.0,4.0,8.0,194.6399887344496
4.0,3.0,8.0,194.6399887344496
