spark.executor.cores,spark.executor.instances,spark.executor.memory,runtime
3.0,8.0,7.0,177.91313
3.0,7.0,7.0,186.79977
4.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
3.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
4.0,8.0,7.0,177.91313
