spark.executor.memory,spark.executor.cores,spark.executor.instances,runtime
5.0,2.0,8.0,211.8116
6.0,2.0,8.0,211.62390909090908
7.0,2.0,8.0,211.62390909090908
6.0,4.0,8.0,210.6008
6.0,3.0,8.0,210.6008
6.0,4.0,8.0,210.6008
6.0,2.0,8.0,211.62390909090908
6.0,3.0,8.0,210.6008
6.0,3.0,8.0,210.6008
6.0,3.0,8.0,210.6008
6.0,3.0,8.0,210.6008
6.0,4.0,8.0,210.6008
6.0,4.0,8.0,210.6008
7.0,4.0,8.0,210.6008
6.0,4.0,8.0,210.6008
6.0,3.0,8.0,210.6008
7.0,4.0,8.0,210.6008
7.0,4.0,8.0,210.6008
6.0,4.0,8.0,210.6008
7.0,4.0,8.0,210.6008
6.0,4.0,8.0,210.6008
6.0,3.0,8.0,210.6008
7.0,4.0,8.0,210.6008
6.0,3.0,8.0,210.6008
7.0,3.0,8.0,210.6008
7.0,4.0,8.0,210.6008
6.0,3.0,8.0,210.6008
6.0,3.0,8.0,210.6008
6.0,2.0,8.0,211.62390909090908
6.0,3.0,8.0,210.6008
