spark.executor.memory,spark.executor.cores,spark.executor.instances,runtime
3.0,1.0,8.0,276.2914523300774
4.0,4.0,8.0,208.52161642793868
4.0,4.0,8.0,208.52161642793868
4.0,4.0,8.0,208.52161642793868
7.0,4.0,8.0,208.52161642793868
5.0,4.0,8.0,208.52161642793868
5.0,4.0,8.0,208.52161642793868
5.0,4.0,8.0,208.52161642793868
7.0,4.0,8.0,208.52161642793868
4.0,4.0,8.0,208.52161642793868
7.0,4.0,8.0,208.52161642793868
6.0,4.0,8.0,208.52161642793868
5.0,4.0,8.0,208.52161642793868
5.0,4.0,8.0,208.52161642793868
5.0,4.0,8.0,208.52161642793868
7.0,4.0,8.0,208.52161642793868
4.0,4.0,8.0,208.52161642793868
3.0,4.0,8.0,208.52161642793868
4.0,4.0,8.0,208.52161642793868
7.0,4.0,8.0,208.52161642793868
3.0,4.0,8.0,208.52161642793868
3.0,4.0,8.0,208.52161642793868
7.0,4.0,8.0,208.52161642793868
5.0,4.0,8.0,208.52161642793868
3.0,4.0,8.0,208.52161642793868
5.0,4.0,8.0,208.52161642793868
5.0,4.0,8.0,208.52161642793868
4.0,4.0,8.0,208.52161642793868
4.0,4.0,8.0,208.52161642793868
4.0,4.0,8.0,208.52161642793868
