spark.executor.cores,spark.executor.instances,runtime
3.0,6.0,255.69758160909018
3.0,6.0,255.69758160909018
1.0,5.0,255.69758160909018
1.0,8.0,255.69758160909018
1.0,6.0,255.69758160909018
3.0,5.0,255.69758160909018
4.0,5.0,255.69758160909018
1.0,4.0,255.69758160909018
3.0,5.0,255.69758160909018
3.0,5.0,255.69758160909018
4.0,6.0,255.69758160909018
4.0,7.0,255.69758160909018
2.0,4.0,255.69758160909018
3.0,5.0,255.69758160909018
2.0,4.0,255.69758160909018
2.0,6.0,255.69758160909018
2.0,7.0,255.69758160909018
2.0,5.0,255.69758160909018
2.0,5.0,255.69758160909018
2.0,5.0,255.69758160909018
2.0,5.0,255.69758160909018
2.0,8.0,255.69758160909018
1.0,5.0,255.69758160909018
4.0,5.0,255.69758160909018
1.0,5.0,255.69758160909018
3.0,5.0,255.69758160909018
1.0,7.0,255.69758160909018
3.0,5.0,255.69758160909018
1.0,5.0,255.69758160909018
2.0,7.0,255.69758160909018
