spark.executor.cores,spark.executor.memory,spark.executor.instances,runtime
2.0,5.0,8.0,214.25983695389343
4.0,6.0,8.0,213.74420575824192
3.0,5.0,8.0,213.6132442426741
3.0,5.0,8.0,213.6132442426741
4.0,6.0,8.0,213.74420575824192
4.0,5.0,8.0,213.6132442426741
4.0,5.0,8.0,213.6132442426741
4.0,7.0,8.0,215.64150069696973
3.0,5.0,8.0,213.6132442426741
4.0,5.0,8.0,213.6132442426741
3.0,6.0,8.0,213.74420575824192
3.0,5.0,8.0,213.6132442426741
3.0,5.0,8.0,213.6132442426741
3.0,5.0,8.0,213.6132442426741
4.0,5.0,8.0,213.6132442426741
3.0,6.0,8.0,213.74420575824192
3.0,5.0,8.0,213.6132442426741
4.0,6.0,8.0,213.74420575824192
4.0,5.0,8.0,213.6132442426741
4.0,5.0,8.0,213.6132442426741
4.0,5.0,8.0,213.6132442426741
3.0,5.0,8.0,213.6132442426741
3.0,5.0,8.0,213.6132442426741
3.0,5.0,8.0,213.6132442426741
3.0,5.0,8.0,213.6132442426741
4.0,6.0,8.0,213.74420575824192
3.0,5.0,8.0,213.6132442426741
2.0,6.0,8.0,214.39079846946117
4.0,5.0,8.0,213.6132442426741
3.0,5.0,8.0,213.6132442426741
