spark.sql.autoBroadcastJoinThreshold,spark.maxRemoteBlockSizeFetchToMem,runtime
15549461.0,1793330031.0,1560.0
15728640.0,1780605934.671286,1560.0
15728640.0,1827556536.2835937,1577.5
15728640.0,1798114674.7849145,1560.0
15728640.0,1800786311.2513332,1560.0
15728640.0,2052543323.0762815,1577.5
15728640.0,1792894170.719612,1560.0
15728639.999999998,1791007813.6740606,1560.0
15727684.94709801,1801174463.9512734,1560.0
15728640.0,1790417901.5095336,1560.0
15373175.990987685,1780073323.6119227,1560.0
15477423.606781298,1800445633.9837387,1560.0
15477423.606781298,1800445633.9837387,1560.0
15715388.408046503,1754447460.7216077,1577.5
15728640.0,1793901737.3417516,1560.0
15728640.0,1795706149.6009521,1560.0
15728640.0,1795706149.6009521,1560.0
15233588.693821987,1798944050.9171746,1560.0
15273318.505825551,1795416741.6979456,1560.0
15709288.026141489,1783214516.1024299,1560.0
15713682.808550553,2056251533.5037434,1577.5
15521333.009669032,2009801402.3288174,1577.5
15520944.9731169,1879998766.959036,1577.5
15670350.96333624,1786772094.12761,1560.0
15705304.668961287,1962625403.9701676,1577.5
15361763.067986285,1888782180.2910886,1577.5
15311583.128561836,2047886777.391832,1577.5
15692191.305441014,1997483057.0742059,1577.5
15728640.0,1999939491.2159977,1577.5
15722425.800696889,1801042090.8655233,1560.0
