spark.sql.autoBroadcastJoinThreshold,spark.maxRemoteBlockSizeFetchToMem,runtime
15549461.0,1793330030.0,1560.0
15062996.0,2024432490.0,1577.5
15244408.0,1827967270.0,1577.5
14859166.0,1110407558.0,1635.5
15674074.0,1159763755.0,1635.5
15288142.0,1825352791.0,1577.5
14748382.0,1752571488.0,1577.5
15642870.0,2146931682.0,1590.0
14885982.0,1702203702.0,1595.0
14990934.0,1889603864.0,1577.5
15415919.0,1815904175.0,1577.5
14961417.0,2037615279.0,1577.5
14203251.0,1277149677.0,1676.0
14412096.0,1875362024.0,1590.0
14054811.0,1925975433.0,1595.0
14265454.0,1892855579.0,1590.0
15513937.0,2090972743.0,1590.0
15057194.0,1833349132.0,1577.5
15063739.0,1688030295.0,1595.0
15496467.0,2085249205.0,1590.0
14734473.0,1951858176.0,1577.5
10424355.0,1854003500.0,1591.0
15236446.0,1814926924.0,1577.5
14734319.0,1908690132.0,1577.5
14554506.0,1915737231.0,1590.0
15601626.0,2051354231.0,1577.5
15536199.0,1911889273.0,1577.5
14269535.0,1914658057.0,1590.0
15702489.0,1762557577.0,1577.5
14637887.0,1987333492.0,1577.5
