spark.sql.autoBroadcastJoinThreshold,spark.kryoserializer.buffer,runtime
15549461.0,102.0,1531.6163673029994
9842072.0,110.0,1608.699699620648
9337785.0,120.0,1595.9398552318348
15126451.0,88.0,1549.0773203017143
14865909.0,89.0,1571.9484744956958
14634954.0,86.0,1564.3091593211395
14629239.0,98.0,1572.572727625472
14694430.0,86.0,1564.3091593211395
9358014.0,110.0,1595.9398552318348
12927355.0,105.0,1611.9213603152639
12730349.0,101.0,1611.9213603152639
14684353.0,104.0,1531.6163673029994
8863553.0,127.0,1595.9398552318348
15133984.0,102.0,1531.6163673029994
9507817.0,114.0,1595.9398552318348
13987626.0,92.0,1619.2135922492173
9592937.0,87.0,1594.2514375981336
14842314.0,88.0,1549.0773203017143
8755223.0,127.0,1595.9398552318348
14830392.0,92.0,1540.0569420880072
15125628.0,110.0,1669.1935707309833
14633221.0,101.0,1531.6163673029994
15206751.0,102.0,1531.6163673029994
13976184.0,101.0,1622.3257215382434
15387786.0,92.0,1540.0569420880072
9942975.0,101.0,1632.215861039889
9255983.0,100.0,1619.4560166510755
8996191.0,127.0,1595.9398552318348
14466509.0,102.0,1622.3257215382434
14531069.0,92.0,1619.2135922492173
