spark.storage.memoryMapThreshold,spark.scheduler.revive.interval,runtime
2.0,543.0,2193.375
1.0,766.0,2193.375
4.0,732.0,2193.375
2.0,866.0,2193.375
2.0,609.0,2193.375
3.0,977.0,2193.375
3.0,705.0,2193.375
2.0,836.0,2193.375
2.0,548.0,2193.375
2.0,708.0,2193.375
2.0,986.0,2193.375
4.0,798.0,2193.375
4.0,791.0,2193.375
1.0,642.0,2193.375
2.0,650.0,2193.375
2.0,735.0,2193.375
1.0,955.0,2193.375
1.0,955.0,2193.375
3.0,764.0,2193.375
4.0,548.0,2193.375
2.0,644.0,2193.375
1.0,783.0,2193.375
3.0,955.0,2193.375
1.0,798.0,2193.375
1.0,697.0,2193.375
2.0,642.0,2193.375
2.0,822.0,2193.375
1.0,806.0,2193.375
2.0,814.0,2193.375
1.0,986.0,2193.375
