spark.kryoserializer.buffer,spark.sql.autoBroadcastJoinThreshold,runtime
102.0,15549461.0,1641.29
101.0,15027414.0,1592.22
101.0,14642486.0,1592.22
95.0,15608155.0,1642.68
100.0,12801644.0,1682.31
87.0,8963303.0,1715.39
92.0,15364540.0,1644.21
99.0,15415252.0,1619.74
105.0,15403143.0,1641.29
93.0,14911012.0,1655.05
105.0,15396479.0,1641.29
99.0,15208566.0,1619.74
99.0,14466641.0,1646.92
89.0,9611330.0,1709.27
102.0,9308930.0,1665.52
98.0,15659329.0,1619.74
88.0,9790952.0,1707.76
101.0,9888946.0,1649.13
90.0,13410189.0,1679.07
91.0,9676419.0,1696.13
101.0,14007867.0,1629.22
98.0,15328665.0,1619.74
105.0,14932347.0,1641.29
97.0,14168967.0,1658.62
99.0,15586336.0,1619.74
102.0,14791115.0,1641.29
93.0,14888772.0,1655.05
123.0,13062994.0,1829.47
102.0,15073814.0,1641.29
95.0,13622905.0,1679.68
