spark.kryoserializer.buffer,spark.sql.autoBroadcastJoinThreshold,spark.sql.shuffle.partitions,spark.scheduler.revive.interval,spark.executor.memoryOverhead,spark.shuffle.file.buffer,runtime
58.0,10791591.0,274.0,543.0,384.0,40.0,3370.345458984375
67.0,6131855.0,296.0,943.0,573.0,38.0,3370.345458984375
123.0,12347539.0,330.0,707.0,718.0,38.0,3370.345458984375
104.0,13754945.0,365.0,669.0,500.0,46.0,3370.345458984375
128.0,13591403.0,365.0,922.0,500.0,46.0,3370.345458984375
67.0,11214698.0,365.0,899.0,469.0,38.0,3370.345458984375
46.0,12484142.0,352.0,921.0,394.0,45.0,3370.345458984375
67.0,8275618.0,322.0,528.0,515.0,46.0,3370.345458984375
126.0,7978077.0,263.0,505.0,479.0,40.0,3370.345458984375
114.0,13298947.0,396.0,944.0,413.0,46.0,3370.345458984375
79.0,11365686.0,294.0,755.0,814.0,40.0,3370.345458984375
105.0,13908749.0,310.0,512.0,478.0,40.0,3370.345458984375
75.0,12822081.0,343.0,679.0,663.0,40.0,3370.345458984375
72.0,13269900.0,372.0,536.0,672.0,47.0,3370.345458984375
105.0,5332230.0,332.0,899.0,490.0,39.0,3370.345458984375
54.0,12052793.0,332.0,925.0,425.0,40.0,3370.345458984375
93.0,7029418.0,376.0,580.0,457.0,37.0,3370.345458984375
55.0,8499558.0,384.0,937.0,805.0,39.0,3370.345458984375
127.0,12217934.0,396.0,920.0,751.0,37.0,3370.345458984375
124.0,5387845.0,400.0,556.0,459.0,37.0,3370.345458984375
118.0,13425622.0,388.0,656.0,752.0,48.0,3370.345458984375
86.0,7099281.0,313.0,948.0,748.0,40.0,3370.345458984375
69.0,6386453.0,388.0,944.0,754.0,45.0,3370.345458984375
71.0,12759039.0,325.0,502.0,733.0,45.0,3370.345458984375
83.0,14771156.0,362.0,635.0,733.0,37.0,3370.345458984375
84.0,7756545.0,339.0,640.0,486.0,37.0,3370.345458984375
86.0,9864998.0,300.0,577.0,753.0,46.0,3370.345458984375
98.0,9276413.0,260.0,599.0,722.0,46.0,3370.345458984375
42.0,7963493.0,284.0,693.0,722.0,46.0,3370.345458984375
77.0,7145735.0,256.0,523.0,722.0,45.0,3370.345458984375
