spark.default.parallelism,spark.kryoserializer.buffer.max,spark.maxRemoteBlockSizeFetchToMem,runtime
307.0,36.0,1999483126.0,231.5594516628031
311.0,98.0,1172924863.0,234.84278604386336
344.0,84.0,1829202574.0,232.7164102458541
292.0,90.0,1786056119.0,226.60224645403898
231.0,90.0,1778606019.0,230.07930527422502
312.0,104.0,1778606147.0,225.1774806095893
253.0,94.0,2007638590.0,235.91107550220937
330.0,44.0,1854332809.0,221.35681088704638
255.0,43.0,1816460606.0,222.68367532438873
331.0,67.0,1813287518.0,227.4669918009398
319.0,58.0,1801442167.0,224.041223045645
314.0,75.0,1863322070.0,235.3996187099085
306.0,36.0,1829041303.0,221.40362824517757
324.0,36.0,1829041301.0,223.80695349179936
329.0,56.0,1799719929.0,222.32017184485576
204.0,57.0,1850208885.0,230.88730204271104
328.0,61.0,1972691742.0,239.94675509893224
318.0,78.0,1858335445.0,235.35310896766921
201.0,78.0,1866740439.0,234.6819494998072
308.0,110.0,1797141587.0,226.87305809713664
205.0,106.0,1779561559.0,230.08073690579664
322.0,106.0,1796307497.0,228.12159041215278
289.0,79.0,1855386822.0,231.19706628774034
347.0,55.0,1849694750.0,226.77180882754183
238.0,44.0,1788938713.0,223.63069992096754
314.0,36.0,1813497374.0,221.95291256547924
202.0,59.0,2125829548.0,237.56393156868157
285.0,94.0,1789304034.0,229.14879849957032
290.0,105.0,1853267224.0,231.19706628774034
337.0,102.0,1299033675.0,235.88888127392508
