spark.executor.memory,spark.broadcast.compress,spark.executor.instances,spark.default.parallelism,spark.kryoserializer.buffer,runtime
7.0,1.0,4.0,226.0,107.0,254.94876
3.0,1.0,4.0,296.0,65.0,254.94876
6.0,1.0,4.0,372.0,125.0,254.94876
6.0,1.0,4.0,449.0,110.0,254.94876
4.0,1.0,4.0,387.0,117.0,254.94876
4.0,1.0,4.0,364.0,99.0,254.94876
7.0,0.0,4.0,259.0,32.0,254.94876
4.0,1.0,4.0,483.0,56.0,254.94876
7.0,0.0,4.0,465.0,58.0,254.94876
4.0,1.0,4.0,236.0,93.0,254.94876
5.0,1.0,4.0,388.0,111.0,254.94876
6.0,1.0,4.0,439.0,60.0,254.94876
6.0,0.0,4.0,416.0,126.0,254.94876
6.0,0.0,4.0,289.0,68.0,254.94876
6.0,1.0,4.0,437.0,92.0,254.94876
3.0,1.0,4.0,251.0,45.0,254.94876
4.0,1.0,4.0,364.0,119.0,254.94876
5.0,0.0,4.0,455.0,94.0,254.94876
6.0,1.0,4.0,259.0,117.0,254.94876
3.0,1.0,4.0,265.0,34.0,254.94876
4.0,0.0,4.0,277.0,44.0,254.94876
4.0,1.0,4.0,300.0,68.0,254.94876
6.0,1.0,4.0,319.0,127.0,254.94876
7.0,0.0,4.0,265.0,82.0,254.94876
5.0,1.0,4.0,259.0,32.0,254.94876
5.0,0.0,4.0,253.0,107.0,254.94876
4.0,0.0,4.0,434.0,57.0,254.94876
5.0,1.0,4.0,240.0,40.0,254.94876
4.0,0.0,4.0,489.0,82.0,254.94876
5.0,1.0,4.0,470.0,106.0,254.94876
