spark.executor.cores,spark.executor.memory,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.instances,spark.shuffle.file.buffer,spark.reducer.maxReqsInFlight,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxSizeInFlight,runtime
3.0,6.0,1889193221.0,8.0,20.0,1346906111.0,1078559276.0,45.0,189.7081111111111
4.0,7.0,1889193925.0,8.0,19.0,1346923236.0,1091142145.0,45.0,189.7081111111111
3.0,7.0,1956305355.0,8.0,28.0,1332563391.0,2001305425.0,69.0,189.7081111111111
3.0,7.0,1924717973.0,8.0,16.0,1869434311.0,2001272657.0,69.0,189.7081111111111
4.0,5.0,1956305940.0,8.0,25.0,1872253343.0,2001321905.0,32.0,189.7081111111111
3.0,5.0,1923664340.0,8.0,18.0,1835127560.0,2001272658.0,69.0,189.7081111111111
4.0,5.0,1923893716.0,8.0,18.0,1833227016.0,2001305953.0,69.0,189.7081111111111
4.0,5.0,1834406331.0,8.0,22.0,1867079810.0,1353777131.0,69.0,189.98488888888883
4.0,7.0,1924591217.0,7.0,42.0,1083354041.0,1754157964.0,45.0,189.98488888888883
4.0,6.0,1833161147.0,8.0,22.0,1866548108.0,1967510362.0,69.0,189.7081111111111
4.0,6.0,1904736829.0,8.0,32.0,1850889032.0,1980646094.0,30.0,189.7081111111111
4.0,5.0,1900507620.0,8.0,17.0,1582782792.0,1453524299.0,45.0,189.7081111111111
4.0,5.0,1992212899.0,8.0,21.0,1784041800.0,1357861855.0,32.0,189.7081111111111
4.0,5.0,1983791531.0,8.0,21.0,1851150664.0,1357861855.0,69.0,189.7081111111111
3.0,5.0,1983791531.0,8.0,21.0,1280823624.0,1357861871.0,69.0,189.7081111111111
3.0,5.0,1977328900.0,8.0,29.0,1651907392.0,1357845471.0,32.0,189.7081111111111
3.0,5.0,1939732211.0,8.0,30.0,2142161421.0,1695658714.0,69.0,189.7081111111111
3.0,5.0,1890693626.0,8.0,22.0,2146899970.0,1891523448.0,48.0,189.7081111111111
4.0,6.0,1898526158.0,8.0,23.0,1873332743.0,1928270690.0,67.0,189.7081111111111
3.0,6.0,1953412526.0,8.0,23.0,1336461847.0,1928270690.0,67.0,189.7081111111111
4.0,6.0,1907945740.0,8.0,22.0,1831287745.0,1517097989.0,67.0,189.7081111111111
3.0,6.0,1970854964.0,8.0,38.0,1839755788.0,1657249186.0,67.0,189.7081111111111
3.0,7.0,1881742760.0,8.0,45.0,1730211461.0,1925967716.0,45.0,189.7081111111111
3.0,5.0,1897666155.0,8.0,21.0,1298975675.0,2112031703.0,35.0,189.7081111111111
4.0,5.0,1914438253.0,8.0,33.0,2043972165.0,1258229794.0,34.0,189.7081111111111
4.0,5.0,1880359244.0,8.0,26.0,1807518014.0,1701777845.0,34.0,189.7081111111111
4.0,6.0,1817814325.0,8.0,24.0,1810848824.0,1986776804.0,35.0,189.7081111111111
4.0,5.0,1834525749.0,8.0,24.0,1810530458.0,1986463473.0,54.0,189.98488888888883
3.0,5.0,1983776331.0,8.0,23.0,1823432504.0,1986776804.0,32.0,189.7081111111111
3.0,6.0,1823982815.0,8.0,24.0,1798696513.0,2075781975.0,67.0,189.7081111111111
