spark.executor.cores,spark.executor.memory,spark.executor.instances,spark.reducer.maxReqsInFlight,spark.reducer.maxBlocksInFlightPerAddress,spark.maxRemoteBlockSizeFetchToMem,spark.kryoserializer.buffer,spark.shuffle.file.buffer,spark.broadcast.blockSize,spark.reducer.maxSizeInFlight,spark.default.parallelism,runtime
3.0,6.0,8.0,1339052416.0,1875235968.0,1131467903.0,42.0,20.0,60.0,45.0,309.0,294.3650368703274
4.0,7.0,8.0,1970265633.0,1719977736.0,1670685951.0,83.0,28.0,45.0,45.0,346.0,201.54130619198162
4.0,6.0,8.0,1999625253.0,1686423077.0,1078034980.0,40.0,20.0,60.0,45.0,346.0,200.37155239823738
4.0,6.0,8.0,1168320768.0,1983483138.0,1473411646.0,83.0,27.0,45.0,44.0,350.0,201.17124153230026
4.0,5.0,8.0,1097478400.0,1636185624.0,1132103328.0,61.0,20.0,60.0,45.0,297.0,201.0411367234442
4.0,5.0,8.0,1097476033.0,1774597656.0,1127924897.0,61.0,20.0,60.0,45.0,222.0,201.46646291593646
4.0,6.0,8.0,1348003775.0,1763755557.0,1094370473.0,61.0,28.0,45.0,46.0,297.0,199.08631488295885
4.0,4.0,8.0,1414013277.0,1763758901.0,1078034549.0,40.0,20.0,64.0,70.0,297.0,199.86655187316936
4.0,4.0,8.0,1409964293.0,1614211072.0,1078034549.0,40.0,20.0,64.0,70.0,297.0,199.86655187316936
4.0,4.0,8.0,1414050141.0,1614211879.0,1078035069.0,40.0,20.0,64.0,70.0,297.0,199.86655187316936
4.0,4.0,8.0,1414050141.0,1614211879.0,1078035069.0,40.0,20.0,63.0,70.0,302.0,199.73266745927137
4.0,4.0,8.0,1079168257.0,1614214697.0,1084417839.0,83.0,19.0,46.0,45.0,297.0,197.80170485503027
4.0,4.0,8.0,1079135237.0,1622468608.0,1084418351.0,89.0,19.0,46.0,45.0,297.0,197.80170485503027
4.0,6.0,8.0,1079397381.0,1622468672.0,1084418351.0,89.0,19.0,46.0,45.0,297.0,197.80170485503027
4.0,5.0,8.0,1347088413.0,1614212903.0,1159915911.0,83.0,27.0,45.0,63.0,349.0,198.69304181278733
4.0,5.0,8.0,1884219665.0,2013197824.0,1351199051.0,84.0,27.0,45.0,65.0,349.0,199.36442433065017
4.0,4.0,8.0,1347047693.0,1891092608.0,1115924291.0,84.0,27.0,45.0,65.0,349.0,196.9520059330348
4.0,3.0,8.0,1415220136.0,1613167395.0,1084418351.0,83.0,19.0,45.0,70.0,302.0,197.42750538600552
4.0,5.0,7.0,1346916365.0,1891092672.0,1100187455.0,84.0,27.0,47.0,65.0,297.0,200.60038296754516
4.0,5.0,8.0,1347048719.0,1636817778.0,1078175564.0,84.0,27.0,45.0,65.0,349.0,196.9520059330348
4.0,5.0,7.0,1349455252.0,1856689154.0,1101699334.0,37.0,27.0,45.0,70.0,278.0,199.87429774220277
4.0,5.0,7.0,1374621140.0,1856689154.0,1100130603.0,49.0,27.0,45.0,70.0,278.0,199.87429774220277
4.0,6.0,8.0,1344336965.0,1636749170.0,1097666473.0,96.0,30.0,47.0,65.0,297.0,198.15359061134797
4.0,5.0,8.0,1344310921.0,1454859282.0,1100663084.0,86.0,23.0,45.0,38.0,349.0,201.35014926813955
4.0,7.0,8.0,1374506460.0,1756674570.0,1101568297.0,81.0,19.0,44.0,63.0,349.0,198.69304181278733
4.0,5.0,8.0,1374504412.0,1756675594.0,1093196075.0,81.0,19.0,44.0,63.0,349.0,198.69304181278733
4.0,3.0,8.0,1373685724.0,1756675594.0,1361631468.0,81.0,19.0,44.0,63.0,349.0,199.84943390219493
4.0,5.0,8.0,1373669372.0,1756675594.0,1361631468.0,81.0,19.0,36.0,63.0,349.0,200.05262177825097
4.0,7.0,8.0,1370508406.0,1954668388.0,1093196075.0,81.0,19.0,36.0,63.0,349.0,198.89622968884333
4.0,7.0,8.0,2078312412.0,1756675594.0,1361629404.0,81.0,19.0,36.0,66.0,283.0,199.45307335945103
