spark.executor.cores,spark.executor.memory,spark.executor.memoryOverhead,spark.executor.instances,spark.reducer.maxBlocksInFlightPerAddress,spark.kryoserializer.buffer,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxReqsInFlight,runtime
3.0,6.0,497.0,7.0,1972017536.0,86.0,1763204351.0,1117628928.0,202.34605000000002
3.0,6.0,471.0,7.0,1958339360.0,88.0,1855269280.0,1952002304.0,202.51249999999996
4.0,7.0,424.0,8.0,1875846655.0,85.0,1838072289.0,1473898880.0,201.45968000000002
3.0,7.0,503.0,7.0,2011586560.0,48.0,1075106957.0,1334876168.0,202.21496000000008
4.0,6.0,394.0,7.0,2010510914.0,40.0,1515967832.0,1758861568.0,201.34296999999998
3.0,7.0,424.0,8.0,1877815839.0,86.0,1634653193.0,1249940927.0,202.26737
3.0,6.0,423.0,7.0,2010456321.0,78.0,1079137748.0,1871794591.0,202.73093999999998
4.0,6.0,491.0,6.0,1979167168.0,82.0,1480315949.0,1115739039.0,203.65416000000002
3.0,6.0,424.0,8.0,1875669389.0,39.0,1480298109.0,1787073983.0,204.00494999999998
3.0,7.0,445.0,6.0,1979183296.0,39.0,1317506468.0,1366873048.0,201.70012000000008
3.0,6.0,445.0,7.0,2018304777.0,89.0,1480314493.0,1753518978.0,202.90975000000003
3.0,6.0,424.0,8.0,1797023297.0,52.0,1548062061.0,2144361791.0,205.19749
3.0,6.0,424.0,8.0,1875177857.0,52.0,1548062061.0,2144361759.0,204.00494999999998
4.0,6.0,424.0,8.0,1797056001.0,40.0,1548062061.0,2144492895.0,205.19749
3.0,6.0,596.0,8.0,1883509445.0,95.0,1482018611.0,1808880323.0,203.37642000000002
4.0,7.0,424.0,7.0,1884296768.0,72.0,1079365523.0,1808825789.0,204.19044000000002
3.0,6.0,426.0,8.0,1921345116.0,66.0,1552915811.0,1807831747.0,202.78408999999996
4.0,6.0,533.0,8.0,1919177451.0,101.0,1481953059.0,1803981539.0,202.02382000000006
4.0,7.0,550.0,7.0,1915086429.0,100.0,1549124453.0,1474187491.0,202.16859000000008
4.0,6.0,419.0,8.0,1919242915.0,52.0,1230290673.0,1842692803.0,202.78408999999996
4.0,6.0,604.0,8.0,1937069035.0,101.0,1498726065.0,1842725571.0,202.15590000000003
4.0,6.0,444.0,8.0,1921287961.0,69.0,1615119189.0,1474188512.0,202.07958
3.0,6.0,444.0,8.0,1938147037.0,111.0,1549124949.0,1474187506.0,202.0656
4.0,7.0,445.0,8.0,1991079481.0,94.0,1179957123.0,1974043601.0,201.33304
3.0,6.0,429.0,8.0,1991210553.0,94.0,1179957119.0,1976456416.0,202.10858
4.0,5.0,443.0,8.0,1919321943.0,60.0,1079466581.0,1818202608.0,204.92842000000002
4.0,7.0,409.0,7.0,1922021177.0,97.0,1156632518.0,1474024800.0,200.54782000000003
3.0,6.0,425.0,8.0,1982823983.0,82.0,1179949314.0,1743540965.0,201.56275000000002
3.0,6.0,425.0,8.0,1982822959.0,82.0,1181784305.0,1743630821.0,201.56275000000002
3.0,6.0,504.0,6.0,1920319264.0,118.0,1179957538.0,1743278821.0,201.4493000000001
