spark.scheduler.revive.interval,spark.executor.cores,runtime
672.0,4.0,187.5896111111111
616.0,4.0,187.5896111111111
766.0,4.0,187.5896111111111
534.0,4.0,180.737
568.0,4.0,180.737
705.0,4.0,187.5896111111111
573.0,4.0,180.737
566.0,4.0,180.737
532.0,4.0,180.737
564.0,4.0,180.737
701.0,4.0,187.5896111111111
561.0,4.0,180.737
570.0,4.0,180.737
574.0,4.0,180.737
740.0,4.0,187.5896111111111
529.0,4.0,187.5896111111111
574.0,4.0,180.737
562.0,4.0,180.737
559.0,4.0,180.737
548.0,4.0,180.737
559.0,4.0,180.737
531.0,4.0,180.737
614.0,4.0,187.5896111111111
541.0,4.0,180.737
572.0,4.0,180.737
545.0,4.0,180.737
530.0,4.0,180.737
562.0,4.0,180.737
537.0,4.0,180.737
539.0,4.0,180.737
