spark.executor.cores,spark.scheduler.revive.interval,runtime
2.0,548.0,169.97366000000008
4.0,681.0,169.97366000000008
1.0,688.0,169.97366000000008
1.0,883.0,169.97366000000008
2.0,519.0,169.97366000000008
1.0,563.0,169.97366000000008
2.0,706.0,169.97366000000008
1.0,838.0,169.97366000000008
3.0,790.0,169.97366000000008
3.0,681.0,169.97366000000008
1.0,759.0,169.97366000000008
1.0,536.0,169.97366000000008
4.0,818.0,169.97366000000008
3.0,802.0,169.97366000000008
2.0,583.0,169.97366000000008
2.0,860.0,169.97366000000008
2.0,942.0,169.97366000000008
4.0,590.0,169.97366000000008
3.0,832.0,169.97366000000008
1.0,808.0,169.97366000000008
4.0,618.0,169.97366000000008
1.0,616.0,169.97366000000008
3.0,918.0,169.97366000000008
3.0,926.0,169.97366000000008
4.0,850.0,169.97366000000008
3.0,804.0,169.97366000000008
1.0,527.0,169.97366000000008
4.0,976.0,169.97366000000008
1.0,765.0,169.97366000000008
1.0,822.0,169.97366000000008
