spark.executor.cores,spark.scheduler.revive.interval,runtime
2.0,548.0,171.29599000000005
3.0,617.0,171.29599000000005
2.0,752.0,171.29599000000005
2.0,775.0,171.29599000000005
1.0,935.0,171.29599000000005
3.0,740.0,171.29599000000005
3.0,940.0,171.29599000000005
1.0,730.0,171.29599000000005
1.0,868.0,171.29599000000005
4.0,942.0,171.29599000000005
3.0,677.0,171.29599000000005
2.0,578.0,171.29599000000005
4.0,966.0,171.29599000000005
4.0,762.0,171.29599000000005
1.0,702.0,171.29599000000005
4.0,648.0,171.29599000000005
4.0,776.0,171.29599000000005
2.0,709.0,171.29599000000005
2.0,886.0,171.29599000000005
2.0,568.0,171.29599000000005
3.0,961.0,171.29599000000005
1.0,939.0,171.29599000000005
3.0,691.0,171.29599000000005
1.0,779.0,171.29599000000005
1.0,766.0,171.29599000000005
3.0,595.0,171.29599000000005
4.0,926.0,171.29599000000005
2.0,856.0,171.29599000000005
2.0,862.0,171.29599000000005
3.0,866.0,171.29599000000005
