spark.executor.cores,spark.executor.instances,spark.scheduler.revive.interval,spark.executor.memoryOverhead,runtime
3.0,7.0,603.0,674.0,183.17903
4.0,4.0,613.0,662.0,176.27289
4.0,6.0,547.0,667.0,176.27289
4.0,4.0,935.0,674.0,176.27263
4.0,4.0,531.0,667.0,176.27289
4.0,4.0,844.0,667.0,176.27289
4.0,7.0,672.0,668.0,176.27289
4.0,7.0,865.0,667.0,176.27289
4.0,7.0,706.0,669.0,176.27289
4.0,7.0,794.0,669.0,176.27289
4.0,5.0,664.0,669.0,176.27289
4.0,7.0,876.0,668.0,176.27289
4.0,5.0,682.0,671.0,176.27289
4.0,5.0,858.0,671.0,176.27289
4.0,6.0,751.0,665.0,176.27289
4.0,6.0,684.0,668.0,176.27289
4.0,5.0,542.0,665.0,176.27289
4.0,4.0,542.0,665.0,176.27289
4.0,5.0,739.0,669.0,176.27289
4.0,7.0,707.0,669.0,176.27289
4.0,5.0,652.0,665.0,176.27289
4.0,6.0,640.0,669.0,176.27289
4.0,7.0,615.0,667.0,176.27289
4.0,7.0,759.0,669.0,176.27289
4.0,5.0,878.0,491.0,180.3876
4.0,4.0,563.0,667.0,176.27289
4.0,5.0,563.0,674.0,176.27263
4.0,8.0,872.0,496.0,180.3876
4.0,7.0,937.0,669.0,176.27289
4.0,4.0,851.0,669.0,176.27289
