spark.broadcast.blockSize,spark.broadcast.compress,spark.shuffle.io.numConnectionsPerPeer,spark.executor.instances,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.kryoserializer.buffer,spark.default.parallelism,spark.scheduler.revive.interval,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.memory.offHeap.size,spark.executor.memoryOverhead,spark.shuffle.sort.bypassMergeThreshold,spark.executor.memory,spark.reducer.maxBlocksInFlightPerAddress,spark.memory.storageFraction,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.offHeap.enabled,spark.scheduler.mode,spark.broadcast.checksum,spark.shuffle.file.buffer,spark.executor.cores,spark.storage.memoryMapThreshold,spark.rdd.compress,spark.shuffle.compress,runtime
57.0,0.0,1.0,4.0,1911636299.0,63.0,122.0,357.0,776.0,33.0,0.6460317460317461,616.0,384.0,274.0,3.0,2124065958.0,0.5952380952380952,5.0,1672891559.0,1.0,0.0,1.0,29.0,1.0,2.0,0.0,0.0,261.291
56.0,0.0,4.0,7.0,1646034448.0,51.0,76.0,340.0,764.0,39.0,0.6396825396825396,0.0,384.0,297.0,4.0,1775949569.0,0.5952380952380952,5.0,1582273151.0,0.0,0.0,1.0,21.0,2.0,2.0,0.0,0.0,253.43033333333332
64.0,1.0,4.0,7.0,1646034448.0,57.0,76.0,340.0,764.0,39.0,0.6396825396825396,0.0,384.0,297.0,4.0,1775949569.0,0.5952380952380952,7.0,1582273151.0,0.0,0.0,1.0,21.0,2.0,2.0,0.0,0.0,253.43033333333332
32.0,0.0,4.0,7.0,1634545152.0,64.0,79.0,344.0,900.0,41.0,0.6396825396825396,0.0,807.0,267.0,7.0,1785140992.0,0.6396825396825396,5.0,1629491711.0,0.0,0.0,1.0,25.0,2.0,2.0,0.0,0.0,253.43033333333332
47.0,0.0,4.0,7.0,1091951365.0,29.0,71.0,357.0,777.0,33.0,0.6777777777777778,6.0,385.0,222.0,5.0,1749741060.0,0.626984126984127,6.0,1609634308.0,0.0,0.0,1.0,29.0,2.0,2.0,0.0,0.0,253.43033333333332
45.0,0.0,4.0,7.0,1636130652.0,29.0,69.0,205.0,900.0,53.0,0.6396825396825396,16.0,807.0,267.0,7.0,2052693760.0,0.6396825396825396,5.0,1631130989.0,1.0,0.0,1.0,29.0,2.0,2.0,0.0,0.0,253.43033333333332
57.0,1.0,3.0,7.0,1716317201.0,57.0,76.0,266.0,902.0,41.0,0.6396825396825396,8.0,807.0,267.0,5.0,2120193859.0,0.6396825396825396,5.0,1637949505.0,0.0,0.0,1.0,35.0,2.0,2.0,0.0,0.0,253.43033333333332
61.0,1.0,2.0,6.0,1624628231.0,26.0,74.0,365.0,580.0,39.0,0.7793650793650794,6.0,385.0,219.0,5.0,1749732864.0,0.6460317460317461,7.0,1582273135.0,0.0,0.0,1.0,20.0,2.0,2.0,0.0,0.0,253.43033333333332
34.0,1.0,2.0,7.0,1169214378.0,69.0,37.0,318.0,842.0,39.0,0.6206349206349207,272.0,784.0,218.0,4.0,2017964663.0,0.8746031746031746,7.0,1805111324.0,0.0,0.0,1.0,23.0,2.0,2.0,0.0,0.0,253.43033333333332
44.0,0.0,1.0,6.0,1603357098.0,69.0,37.0,280.0,780.0,51.0,0.6206349206349207,304.0,815.0,218.0,4.0,2017964783.0,0.8746031746031746,7.0,1675713830.0,0.0,0.0,1.0,29.0,2.0,2.0,0.0,0.0,253.43033333333332
