spark.shuffle.io.numConnectionsPerPeer,spark.broadcast.compress,spark.broadcast.blockSize,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memory,spark.executor.memoryOverhead,spark.reducer.maxSizeInFlight,spark.reducer.maxReqsInFlight,spark.memory.offHeap.size,spark.executor.cores,spark.shuffle.sort.bypassMergeThreshold,spark.kryoserializer.buffer,spark.executor.instances,spark.scheduler.revive.interval,spark.kryoserializer.buffer.max,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.locality.wait,spark.memory.storageFraction,spark.scheduler.mode,spark.default.parallelism,runtime
4.0,1.0,39.0,1085153271.0,6.0,497.0,53.0,1768916002.0,934.0,3.0,243.0,95.0,6.0,744.0,126.0,1334243553.0,0.7857142857142857,4.0,0.607936507936508,0.0,307.0,210.07462641454555
4.0,0.0,54.0,1818634752.0,4.0,445.0,68.0,1142576777.0,23.0,2.0,161.0,92.0,8.0,594.0,117.0,1439472426.0,0.6460317460317461,5.0,0.626984126984127,1.0,334.0,209.74540310814504
4.0,1.0,53.0,1822016512.0,5.0,482.0,51.0,1634567202.0,294.0,3.0,192.0,95.0,6.0,775.0,126.0,1267134833.0,0.7857142857142857,4.0,0.607936507936508,0.0,307.0,209.74839077143756
4.0,1.0,55.0,1823345655.0,6.0,844.0,54.0,1777304610.0,422.0,3.0,243.0,95.0,6.0,744.0,126.0,1200091393.0,0.7857142857142857,4.0,0.607936507936508,0.0,307.0,209.69239496129924
4.0,1.0,55.0,1823345654.0,6.0,840.0,51.0,1642959906.0,422.0,3.0,243.0,95.0,6.0,744.0,126.0,1200091393.0,0.7857142857142857,4.0,0.607936507936508,0.0,307.0,209.69239496129924
4.0,1.0,39.0,1823214550.0,6.0,844.0,52.0,1777304611.0,422.0,3.0,243.0,98.0,5.0,744.0,126.0,1200083329.0,0.7857142857142857,4.0,0.607936507936508,0.0,232.0,209.5943397274274
5.0,1.0,37.0,1823214582.0,6.0,829.0,52.0,1777304611.0,418.0,4.0,243.0,98.0,5.0,744.0,126.0,1200083329.0,0.7857142857142857,4.0,0.607936507936508,0.0,232.0,209.68631633626657
4.0,1.0,55.0,1823353737.0,6.0,871.0,40.0,1103926322.0,422.0,3.0,243.0,46.0,5.0,744.0,126.0,1200092425.0,0.7857142857142857,7.0,0.5063492063492063,0.0,307.0,209.69239496129924
5.0,1.0,39.0,1326205913.0,6.0,489.0,54.0,1796023315.0,422.0,3.0,218.0,101.0,5.0,963.0,126.0,1606713472.0,0.7857142857142857,4.0,0.5063492063492063,0.0,307.0,210.08034540289594
4.0,1.0,39.0,1243307488.0,4.0,628.0,65.0,1665740860.0,64.0,1.0,237.0,95.0,6.0,778.0,99.0,1233580409.0,0.5317460317460317,4.0,0.5063492063492063,0.0,307.0,210.11006742704689
4.0,1.0,55.0,1328417778.0,6.0,866.0,58.0,1844412463.0,432.0,1.0,242.0,95.0,6.0,743.0,68.0,1606680832.0,0.7095238095238096,6.0,0.5063492063492063,0.0,307.0,210.17268164841738
4.0,0.0,39.0,1333694397.0,5.0,505.0,39.0,1758365240.0,34.0,3.0,243.0,95.0,6.0,727.0,68.0,1606729856.0,0.7603174603174603,4.0,0.5063492063492063,0.0,307.0,210.11006742704689
4.0,1.0,55.0,1334709234.0,6.0,866.0,34.0,1777319984.0,53.0,1.0,190.0,34.0,8.0,993.0,60.0,1608810784.0,0.7095238095238096,6.0,0.5063492063492063,0.0,307.0,210.17268164841738
4.0,0.0,39.0,1164527783.0,4.0,851.0,55.0,1844412464.0,54.0,3.0,240.0,83.0,6.0,696.0,68.0,1609351296.0,0.753968253968254,4.0,0.5063492063492063,0.0,297.0,210.11006742704689
4.0,0.0,39.0,1262274727.0,4.0,853.0,58.0,1877935371.0,577.0,4.0,240.0,95.0,6.0,744.0,74.0,1607252448.0,0.7857142857142857,6.0,0.607936507936508,0.0,307.0,210.11006742704689
5.0,0.0,39.0,1236159479.0,6.0,620.0,28.0,2028970034.0,429.0,3.0,167.0,46.0,6.0,715.0,123.0,1267130737.0,0.5317460317460317,4.0,0.607936507936508,0.0,312.0,210.08034540289594
4.0,0.0,39.0,1236167615.0,4.0,628.0,28.0,2028904498.0,426.0,3.0,166.0,46.0,6.0,717.0,123.0,1267130737.0,0.5317460317460317,4.0,0.607936507936508,0.0,312.0,210.11006742704689
4.0,0.0,39.0,1123867808.0,4.0,853.0,60.0,1273794311.0,580.0,4.0,240.0,95.0,6.0,744.0,77.0,1506589176.0,0.7857142857142857,6.0,0.607936507936508,0.0,307.0,210.11006742704689
4.0,1.0,39.0,1235626987.0,4.0,853.0,59.0,1088287287.0,412.0,1.0,241.0,46.0,5.0,997.0,74.0,1606728160.0,0.7857142857142857,6.0,0.607936507936508,0.0,307.0,210.11006742704689
4.0,1.0,39.0,1235626731.0,4.0,853.0,57.0,1756209185.0,397.0,1.0,349.0,46.0,8.0,931.0,80.0,1507254584.0,0.5317460317460317,4.0,0.607936507936508,0.0,307.0,210.11006742704689
4.0,0.0,39.0,1090444447.0,4.0,493.0,40.0,1479486114.0,430.0,1.0,349.0,46.0,5.0,934.0,61.0,1267134835.0,0.5317460317460317,4.0,0.607936507936508,0.0,312.0,210.11006742704689
4.0,0.0,39.0,1109274609.0,4.0,841.0,60.0,1206161163.0,708.0,4.0,240.0,98.0,6.0,744.0,74.0,1606728176.0,0.7857142857142857,6.0,0.6015873015873016,0.0,307.0,210.11006742704689
4.0,0.0,35.0,1228692660.0,6.0,752.0,40.0,1206650635.0,578.0,4.0,240.0,98.0,6.0,744.0,80.0,1500101082.0,0.5317460317460317,4.0,0.607936507936508,0.0,312.0,210.16088403503431
4.0,0.0,39.0,1090439297.0,4.0,470.0,37.0,2020470847.0,397.0,1.0,300.0,46.0,8.0,931.0,104.0,1606728962.0,0.5317460317460317,4.0,0.607936507936508,0.0,312.0,210.11006742704689
5.0,1.0,39.0,1090439301.0,4.0,470.0,37.0,2070803007.0,397.0,1.0,300.0,46.0,8.0,931.0,104.0,1606728960.0,0.5317460317460317,4.0,0.607936507936508,0.0,312.0,210.11578641539728
4.0,0.0,39.0,1106011831.0,4.0,517.0,60.0,1709542924.0,661.0,4.0,239.0,98.0,6.0,744.0,74.0,1606744000.0,0.5317460317460317,4.0,0.6015873015873016,0.0,307.0,210.11006742704689
4.0,0.0,39.0,1224657045.0,4.0,485.0,40.0,1265452427.0,771.0,4.0,228.0,98.0,6.0,744.0,74.0,1606744000.0,0.5317460317460317,4.0,0.6015873015873016,0.0,307.0,210.11006742704689
4.0,0.0,39.0,1100963062.0,5.0,752.0,42.0,1117919067.0,389.0,4.0,340.0,98.0,6.0,744.0,71.0,1606744656.0,0.5317460317460317,4.0,0.607936507936508,0.0,307.0,210.11006742704689
4.0,0.0,39.0,1341549040.0,6.0,752.0,40.0,1621398859.0,966.0,1.0,274.0,49.0,8.0,743.0,61.0,1506130408.0,0.5317460317460317,4.0,0.607936507936508,0.0,345.0,210.07462641454555
4.0,0.0,39.0,1131178448.0,6.0,628.0,64.0,1218747720.0,578.0,4.0,187.0,46.0,8.0,931.0,58.0,1506082078.0,0.5317460317460317,4.0,0.607936507936508,0.0,345.0,210.07462641454555
