spark.executor.memoryOverhead,spark.kryoserializer.buffer.max,spark.shuffle.io.numConnectionsPerPeer,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,runtime
396.0,64.0,4.0,5.0,1620198783.0,225.95484989477325
807.0,99.0,4.0,6.0,1599065223.0,241.06179743995895
396.0,61.0,4.0,6.0,1609580674.0,225.95484989477325
865.0,99.0,4.0,5.0,1676689522.0,241.06179743995895
475.0,65.0,4.0,6.0,1582207368.0,225.95484989477325
877.0,118.0,1.0,5.0,1620050047.0,241.06179743995895
384.0,61.0,4.0,4.0,1620197133.0,225.95484989477325
809.0,95.0,4.0,5.0,1621103921.0,241.06179743995895
452.0,46.0,5.0,5.0,1854619723.0,225.95484989477325
877.0,116.0,4.0,5.0,1624244398.0,241.06179743995895
384.0,46.0,3.0,7.0,1695741037.0,225.95484989477325
877.0,116.0,5.0,9.0,1513247053.0,241.06179743995895
384.0,44.0,5.0,9.0,1515404950.0,225.95484989477325
815.0,116.0,3.0,9.0,1481699535.0,241.06179743995895
386.0,44.0,5.0,9.0,1528000709.0,225.95484989477325
815.0,116.0,3.0,9.0,1586745638.0,241.06179743995895
384.0,61.0,2.0,4.0,1890645243.0,225.95484989477325
877.0,116.0,3.0,10.0,1557156141.0,241.06179743995895
384.0,37.0,2.0,4.0,2027221071.0,225.95484989477325
877.0,116.0,3.0,5.0,1888735483.0,241.06179743995895
384.0,61.0,4.0,8.0,1353964014.0,225.95484989477325
877.0,116.0,3.0,9.0,1452331207.0,241.06179743995895
384.0,46.0,5.0,10.0,1578693032.0,225.95484989477325
877.0,114.0,2.0,8.0,1660146226.0,241.06179743995895
384.0,44.0,4.0,9.0,1593046338.0,225.95484989477325
877.0,104.0,2.0,10.0,1350628591.0,241.06179743995895
385.0,56.0,2.0,5.0,1351800160.0,225.95484989477325
877.0,116.0,2.0,8.0,2052125888.0,241.06179743995895
384.0,44.0,2.0,7.0,1913713904.0,225.95484989477325
877.0,116.0,3.0,9.0,1525937471.0,241.06179743995895
