spark.shuffle.io.numConnectionsPerPeer,spark.reducer.maxReqsInFlight,spark.kryoserializer.buffer,spark.broadcast.blockSize,spark.executor.instances,runtime
5.0,1458157745.0,58.0,38.0,7.0,239.2371499999999
5.0,1298016257.0,37.0,44.0,5.0,220.80338000000012
4.0,1765185009.0,41.0,33.0,8.0,219.44083000000006
5.0,1429087479.0,38.0,49.0,7.0,220.89490000000012
5.0,1349945871.0,43.0,34.0,8.0,220.61587000000011
5.0,1481392783.0,43.0,42.0,7.0,220.61587000000011
4.0,1621978937.0,43.0,39.0,8.0,220.62741000000008
4.0,1933901990.0,37.0,55.0,7.0,220.82760000000005
4.0,1484106153.0,40.0,57.0,6.0,219.44083000000006
5.0,1479385250.0,40.0,59.0,6.0,219.42929000000012
5.0,2058215793.0,43.0,60.0,6.0,220.61587000000011
5.0,1596573128.0,43.0,59.0,4.0,220.61587000000011
5.0,1749178699.0,43.0,50.0,5.0,220.61587000000011
5.0,1821049579.0,40.0,34.0,5.0,219.42929000000012
5.0,1489672997.0,37.0,55.0,5.0,220.80338000000012
4.0,1679518260.0,43.0,59.0,6.0,220.62741000000008
5.0,1178262297.0,38.0,33.0,4.0,220.89490000000012
4.0,1121875226.0,39.0,52.0,4.0,220.33967000000004
5.0,1199209436.0,40.0,52.0,6.0,219.42929000000012
4.0,1788803805.0,40.0,56.0,7.0,219.44083000000006
5.0,1284124747.0,40.0,55.0,6.0,219.42929000000012
5.0,1087533644.0,40.0,55.0,5.0,219.42929000000012
5.0,1578413450.0,41.0,49.0,5.0,219.42929000000012
4.0,1747447867.0,40.0,49.0,8.0,219.44083000000006
5.0,1764179301.0,40.0,53.0,8.0,219.42929000000012
5.0,1746098716.0,40.0,53.0,5.0,219.42929000000012
5.0,1509666115.0,41.0,55.0,5.0,219.42929000000012
5.0,1831163092.0,41.0,63.0,4.0,219.42929000000012
5.0,2080639283.0,40.0,53.0,6.0,219.42929000000012
5.0,1729799808.0,40.0,58.0,7.0,219.42929000000012
