spark.shuffle.io.numConnectionsPerPeer,spark.broadcast.compress,spark.kryoserializer.buffer,spark.memory.offHeap.size,spark.kryoserializer.buffer.max,spark.executor.instances,spark.broadcast.blockSize,spark.rdd.compress,spark.default.parallelism,spark.scheduler.mode,spark.scheduler.revive.interval,spark.memory.storageFraction,spark.shuffle.file.buffer,spark.reducer.maxReqsInFlight,spark.shuffle.sort.bypassMergeThreshold,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memoryOverhead,spark.locality.wait,spark.memory.fraction,spark.reducer.maxSizeInFlight,spark.executor.cores,spark.storage.memoryMapThreshold,spark.executor.memory,spark.shuffle.compress,runtime
4.0,0.0,76.0,0.0,63.0,8.0,56.0,0.0,340.0,0.0,764.0,0.5952380952380952,21.0,1646034688.0,221.0,1582273151.0,1775949568.0,392.0,5.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.35617
5.0,0.0,75.0,777.0,32.0,5.0,41.0,0.0,276.0,1.0,510.0,0.5190476190476191,38.0,1900655616.0,228.0,1637781631.0,1823545344.0,458.0,5.0,0.7095238095238096,61.0,1.0,4.0,3.0,0.0,249.18085
3.0,1.0,75.0,777.0,35.0,6.0,59.0,0.0,313.0,1.0,510.0,0.5190476190476191,38.0,1900655616.0,228.0,1637781631.0,1823545344.0,458.0,5.0,0.7095238095238096,61.0,1.0,4.0,3.0,0.0,249.18085
5.0,1.0,75.0,769.0,43.0,8.0,40.0,0.0,334.0,1.0,752.0,0.626984126984127,26.0,1668920328.0,228.0,1636799090.0,1775949568.0,458.0,5.0,0.7095238095238096,61.0,1.0,4.0,3.0,0.0,249.18085
4.0,0.0,76.0,4.0,43.0,7.0,53.0,0.0,316.0,1.0,758.0,0.6142857142857143,27.0,1617584512.0,223.0,2146451077.0,1838086272.0,458.0,5.0,0.665079365079365,54.0,2.0,2.0,5.0,0.0,249.18085
4.0,1.0,75.0,330.0,53.0,8.0,55.0,0.0,313.0,1.0,510.0,0.5190476190476191,38.0,1900650880.0,223.0,2146451077.0,1838085632.0,454.0,6.0,0.626984126984127,54.0,2.0,2.0,5.0,0.0,249.18085
4.0,1.0,75.0,330.0,47.0,8.0,55.0,0.0,313.0,1.0,510.0,0.5190476190476191,38.0,1900622848.0,223.0,2146451077.0,1300948480.0,454.0,6.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
4.0,1.0,76.0,37.0,77.0,6.0,45.0,0.0,492.0,1.0,752.0,0.6206349206349207,40.0,1900622848.0,223.0,2146451077.0,1300948480.0,454.0,6.0,0.6396825396825396,54.0,2.0,2.0,4.0,0.0,249.18085
1.0,0.0,76.0,16.0,72.0,6.0,59.0,0.0,421.0,1.0,758.0,0.626984126984127,26.0,1632187396.0,223.0,2146451077.0,1300948480.0,454.0,6.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
4.0,1.0,76.0,37.0,53.0,8.0,56.0,0.0,277.0,1.0,510.0,0.5190476190476191,26.0,1632220160.0,228.0,1632354048.0,1823540736.0,454.0,6.0,0.6396825396825396,52.0,1.0,4.0,3.0,0.0,249.18085
3.0,1.0,75.0,293.0,54.0,8.0,56.0,0.0,277.0,1.0,508.0,0.5190476190476191,26.0,1632220160.0,228.0,1632354048.0,1840317952.0,454.0,6.0,0.6396825396825396,54.0,2.0,2.0,4.0,0.0,249.18085
4.0,1.0,76.0,521.0,102.0,8.0,45.0,1.0,476.0,1.0,782.0,0.8301587301587301,21.0,1632216064.0,228.0,1637781631.0,1823545344.0,393.0,6.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
5.0,0.0,75.0,72.0,110.0,5.0,40.0,0.0,257.0,1.0,510.0,0.5190476190476191,26.0,1632220160.0,228.0,1632354048.0,1823540224.0,458.0,5.0,0.7095238095238096,61.0,1.0,4.0,3.0,0.0,249.18085
3.0,0.0,76.0,13.0,43.0,7.0,63.0,1.0,323.0,1.0,782.0,0.5190476190476191,38.0,1632220160.0,223.0,2146451077.0,1301354528.0,393.0,6.0,0.6396825396825396,54.0,2.0,2.0,5.0,0.0,249.18085
2.0,0.0,75.0,74.0,67.0,8.0,33.0,1.0,473.0,1.0,752.0,0.6206349206349207,40.0,1632220160.0,223.0,2135637640.0,1300948480.0,458.0,5.0,0.7095238095238096,61.0,1.0,4.0,3.0,0.0,249.18085
1.0,0.0,75.0,106.0,102.0,5.0,63.0,1.0,485.0,1.0,782.0,0.5126984126984127,18.0,1632187396.0,323.0,2146451077.0,1300948480.0,458.0,5.0,0.7095238095238096,61.0,1.0,4.0,3.0,0.0,249.18085
