spark.reducer.maxSizeInFlight,spark.default.parallelism,spark.shuffle.file.buffer,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.scheduler.revive.interval,spark.executor.memoryOverhead,spark.kryoserializer.buffer.max,spark.broadcast.blockSize,spark.reducer.maxReqsInFlight,spark.broadcast.compress,spark.memory.fraction,spark.shuffle.sort.bypassMergeThreshold,runtime
64.0,415.0,34.0,2100041469.0,1363244891.0,813.0,384.0,107.0,44.0,1628542065.0,0.0,0.6587301587301587,267.0,226.30721198974803
52.0,458.0,48.0,1617610138.0,1453858801.0,681.0,497.0,126.0,39.0,1768916002.0,1.0,0.7857142857142857,243.0,227.9205596088571
70.0,495.0,48.0,1667941774.0,1445470193.0,681.0,497.0,126.0,39.0,1768916002.0,1.0,0.7857142857142857,243.0,225.79166409145748
59.0,371.0,41.0,1845857022.0,2032975746.0,672.0,466.0,126.0,39.0,1768675089.0,1.0,0.734920634920635,261.0,225.27564600736156
57.0,384.0,24.0,1998770479.0,1443403168.0,661.0,496.0,120.0,40.0,1330053715.0,0.0,0.7285714285714285,217.0,225.63221801920466
67.0,233.0,37.0,1937147300.0,1110014838.0,727.0,785.0,126.0,39.0,1750270419.0,0.0,0.7285714285714285,217.0,225.44928956833624
58.0,432.0,19.0,1674952428.0,2064160160.0,685.0,464.0,124.0,40.0,1145218594.0,1.0,0.7857142857142857,243.0,225.25003616718521
58.0,225.0,27.0,1674952420.0,2066308214.0,594.0,785.0,124.0,40.0,1145218594.0,1.0,0.7857142857142857,243.0,225.25003616718521
58.0,270.0,27.0,1675017958.0,1529445414.0,594.0,785.0,124.0,39.0,1073915426.0,1.0,0.7857142857142857,243.0,225.25003616718521
67.0,317.0,35.0,1936795850.0,2097292861.0,544.0,421.0,124.0,40.0,1632010323.0,0.0,0.7285714285714285,217.0,225.51985721635754
58.0,202.0,34.0,1885454071.0,2097395517.0,594.0,847.0,118.0,40.0,1146267223.0,0.0,0.734920634920635,218.0,225.40282766667963
60.0,470.0,22.0,1994397476.0,1266417596.0,795.0,554.0,126.0,39.0,1816560211.0,0.0,0.7285714285714285,216.0,225.3858485445798
66.0,432.0,39.0,1810697912.0,1261163060.0,669.0,539.0,126.0,39.0,1213407682.0,0.0,0.7285714285714285,217.0,225.35455985170373
61.0,201.0,23.0,1690589291.0,1132188348.0,844.0,604.0,126.0,41.0,1750272466.0,0.0,0.7285714285714285,243.0,224.87541989442929
68.0,353.0,37.0,1945770030.0,1132184236.0,844.0,604.0,114.0,41.0,1767049554.0,0.0,0.7285714285714285,243.0,223.9927924464661
67.0,426.0,37.0,1945774876.0,1127989948.0,844.0,604.0,114.0,43.0,1834158418.0,0.0,0.7285714285714285,218.0,223.63817938718822
71.0,235.0,17.0,1909351529.0,1466929825.0,602.0,619.0,114.0,41.0,1767065939.0,0.0,0.7285714285714285,243.0,223.02830158786995
67.0,330.0,21.0,2007916171.0,1399727819.0,784.0,434.0,114.0,41.0,1767065939.0,0.0,0.7412698412698413,243.0,222.39680500180137
58.0,240.0,19.0,1935586386.0,1937675132.0,598.0,671.0,127.0,41.0,1769146691.0,0.0,0.7285714285714285,217.0,222.06923717346922
59.0,302.0,47.0,2007916155.0,1936467692.0,782.0,403.0,115.0,43.0,2098661717.0,0.0,0.7285714285714285,240.0,222.2231614408267
53.0,393.0,25.0,2144936565.0,1936052885.0,727.0,604.0,114.0,41.0,2098358610.0,0.0,0.8301587301587301,243.0,223.34752302678882
66.0,276.0,41.0,2010083393.0,1395551981.0,784.0,415.0,114.0,41.0,1901283667.0,0.0,0.7412698412698413,243.0,222.30207528516885
60.0,463.0,28.0,1999503952.0,1935759252.0,727.0,604.0,114.0,41.0,2098342227.0,0.0,0.8301587301587301,243.0,222.2231614408267
60.0,297.0,36.0,1964979275.0,1395453645.0,784.0,430.0,114.0,41.0,1901545811.0,0.0,0.7412698412698413,243.0,222.2231614408267
60.0,339.0,45.0,1964979287.0,2078626241.0,541.0,697.0,114.0,41.0,1964460355.0,0.0,0.7920634920634921,243.0,222.12112367151485
58.0,223.0,31.0,2064637636.0,1372571053.0,541.0,482.0,112.0,42.0,2081557072.0,0.0,0.8301587301587301,243.0,222.10775236749515
58.0,224.0,46.0,1956377747.0,1982711195.0,752.0,806.0,109.0,41.0,1901808208.0,0.0,0.8301587301587301,243.0,222.209790136807
58.0,386.0,35.0,1866720993.0,1646585245.0,761.0,667.0,127.0,43.0,2097314066.0,0.0,0.8301587301587301,243.0,222.06923717346922
58.0,381.0,36.0,1951131342.0,1646585309.0,761.0,667.0,127.0,43.0,1560443155.0,0.0,0.8301587301587301,243.0,222.06923717346922
58.0,215.0,35.0,1714744188.0,1355982475.0,761.0,422.0,114.0,41.0,2103134799.0,0.0,0.8301587301587301,243.0,222.19755160065034
