spark.reducer.maxSizeInFlight,spark.scheduler.revive.interval,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.file.buffer,spark.default.parallelism,runtime
64.0,923.0,1707870217.0,34.0,267.0,212.16134713747155
43.0,756.0,1886981149.0,18.0,357.0,237.77167481654197
68.0,743.0,1439253930.0,20.0,341.0,212.16134713747155
45.0,757.0,2136950781.0,40.0,356.0,237.77167481654197
63.0,766.0,1443448359.0,20.0,272.0,212.16134713747155
33.0,734.0,2136959996.0,41.0,240.0,237.77167481654197
68.0,743.0,1084273921.0,24.0,285.0,212.16134713747155
24.0,736.0,1588797518.0,41.0,265.0,237.77167481654197
63.0,764.0,1084264706.0,24.0,310.0,212.16134713747155
33.0,736.0,1790124062.0,41.0,265.0,237.77167481654197
66.0,764.0,1619844223.0,21.0,356.0,212.16134713747155
30.0,737.0,1244864691.0,27.0,344.0,237.77167481654197
66.0,764.0,1619844255.0,37.0,356.0,212.16134713747155
30.0,736.0,1514105983.0,43.0,340.0,237.77167481654197
66.0,764.0,1632165020.0,37.0,355.0,212.16134713747155
27.0,736.0,1588797538.0,27.0,344.0,237.77167481654197
66.0,764.0,1634000044.0,21.0,356.0,212.16134713747155
31.0,767.0,1588797538.0,27.0,344.0,237.77167481654197
66.0,772.0,1619582079.0,37.0,356.0,212.16134713747155
30.0,736.0,1601642591.0,27.0,350.0,237.77167481654197
68.0,733.0,1632427164.0,37.0,350.0,212.16134713747155
30.0,736.0,1588797538.0,27.0,350.0,237.77167481654197
66.0,772.0,1082707231.0,37.0,356.0,212.16134713747155
28.0,767.0,1588797538.0,27.0,350.0,237.77167481654197
68.0,733.0,1632427132.0,21.0,350.0,212.16134713747155
24.0,728.0,2138251231.0,27.0,350.0,237.77167481654197
68.0,733.0,1632427164.0,37.0,356.0,212.16134713747155
28.0,767.0,1605574750.0,27.0,344.0,237.77167481654197
68.0,733.0,1632427164.0,37.0,350.0,212.16134713747155
31.0,767.0,1588797538.0,27.0,350.0,237.77167481654197
