spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.default.parallelism,spark.executor.instances,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.reducer.maxReqsInFlight,spark.shuffle.io.numConnectionsPerPeer,spark.broadcast.blockSize,spark.shuffle.sort.bypassMergeThreshold,spark.kryoserializer.buffer.max,spark.memory.fraction,spark.scheduler.revive.interval,spark.locality.wait,spark.memory.storageFraction,spark.executor.memory,spark.memory.offHeap.size,runtime
69.0,27.0,360.0,8.0,1439489438.0,1364761151.0,445.0,92.0,1141528201.0,4.0,48.0,161.0,117.0,0.7095238095238096,594.0,5.0,0.8682539682539683,4.0,535.0,233.81199999999998
58.0,24.0,344.0,8.0,1632586906.0,1695558272.0,442.0,74.0,1659668777.0,1.0,33.0,268.0,99.0,0.5444444444444444,672.0,4.0,0.8873015873015873,5.0,0.0,230.05814
70.0,21.0,344.0,6.0,1627904093.0,1751591425.0,449.0,74.0,1646180096.0,3.0,33.0,294.0,99.0,0.5444444444444444,672.0,4.0,0.8492063492063492,5.0,0.0,229.54308
68.0,21.0,344.0,6.0,1636292668.0,1751329281.0,449.0,74.0,1646180096.0,3.0,33.0,294.0,99.0,0.5444444444444444,672.0,4.0,0.8492063492063492,5.0,0.0,229.54308
66.0,27.0,330.0,5.0,1574966603.0,1105330496.0,464.0,74.0,1659669769.0,2.0,33.0,264.0,32.0,0.7095238095238096,525.0,5.0,0.6968253968253968,3.0,513.0,232.35905000000002
66.0,21.0,306.0,6.0,1138202835.0,1749223967.0,487.0,72.0,1651405010.0,3.0,37.0,193.0,99.0,0.5444444444444444,680.0,4.0,0.8492063492063492,5.0,0.0,229.90606999999997
64.0,21.0,306.0,6.0,1674811475.0,1749495331.0,489.0,72.0,1651404809.0,2.0,33.0,264.0,51.0,0.5444444444444444,680.0,4.0,0.8492063492063492,5.0,0.0,229.74824999999998
70.0,21.0,283.0,6.0,1129746387.0,2026310431.0,484.0,72.0,1651405010.0,5.0,41.0,190.0,34.0,0.7095238095238096,539.0,6.0,0.8492063492063492,5.0,1.0,230.59354
71.0,18.0,249.0,6.0,1669716529.0,1824991779.0,476.0,72.0,1651404809.0,3.0,33.0,264.0,101.0,0.5444444444444444,680.0,7.0,0.8492063492063492,5.0,0.0,230.58849999999998
71.0,20.0,283.0,6.0,1632050901.0,1084647682.0,468.0,74.0,1079783465.0,1.0,33.0,264.0,52.0,0.5444444444444444,555.0,7.0,0.8492063492063492,5.0,0.0,231.36553
