spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.maxRemoteBlockSizeFetchToMem,spark.default.parallelism,spark.reducer.maxReqsInFlight,spark.memory.offHeap.size,spark.broadcast.blockSize,spark.kryoserializer.buffer.max,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.memoryOverhead,spark.kryoserializer.buffer,spark.executor.instances,spark.shuffle.sort.bypassMergeThreshold,spark.scheduler.revive.interval,spark.memory.fraction,spark.memory.storageFraction,spark.locality.wait,spark.rdd.compress,spark.scheduler.mode,spark.broadcast.checksum,spark.broadcast.compress,spark.shuffle.io.numConnectionsPerPeer,spark.storage.memoryMapThreshold,spark.memory.offHeap.enabled,spark.executor.cores,spark.executor.memory,spark.shuffle.compress,runtime
64.0,36.0,1535308075.0,431.0,1458157745.0,0.0,38.0,46.0,1925973984.0,384.0,58.0,7.0,206.0,903.0,0.5380952380952381,0.753968253968254,7.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,3.0,1.0,218.76277
64.0,36.0,1401091467.0,431.0,1459203217.0,0.0,38.0,34.0,1925973984.0,384.0,58.0,7.0,206.0,903.0,0.6396825396825396,0.753968253968254,7.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,3.0,1.0,218.74518
29.0,34.0,1368061307.0,431.0,1191029907.0,0.0,38.0,34.0,1925448024.0,507.0,108.0,5.0,349.0,778.0,0.6396825396825396,0.753968253968254,7.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,3.0,1.0,218.74518
57.0,44.0,1961190648.0,206.0,1870900433.0,0.0,39.0,33.0,1898054943.0,507.0,108.0,6.0,349.0,784.0,0.6396825396825396,0.753968253968254,7.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,3.0,0.0,218.74518
65.0,28.0,1351145362.0,214.0,1392011716.0,273.0,37.0,33.0,1904411904.0,384.0,106.0,5.0,350.0,784.0,0.6904761904761905,0.753968253968254,7.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,4.0,0.0,218.65262
65.0,28.0,1342740371.0,208.0,1870914564.0,273.0,37.0,81.0,1635976448.0,384.0,106.0,5.0,350.0,784.0,0.6904761904761905,0.753968253968254,7.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,4.0,0.0,218.65262
53.0,27.0,1979868594.0,430.0,1256264223.0,413.0,54.0,115.0,1694696704.0,384.0,106.0,5.0,350.0,784.0,0.6904761904761905,0.753968253968254,7.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,1.0,4.0,0.0,218.35922
50.0,26.0,1979868594.0,430.0,1223234079.0,413.0,54.0,115.0,1888159135.0,384.0,112.0,5.0,350.0,784.0,0.6904761904761905,0.753968253968254,7.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,4.0,1.0,218.35922
67.0,36.0,1141687349.0,320.0,1524699687.0,413.0,54.0,109.0,1694696832.0,399.0,112.0,5.0,350.0,784.0,0.6904761904761905,0.753968253968254,7.0,0.0,1.0,0.0,0.0,5.0,2.0,1.0,2.0,4.0,0.0,218.35922
52.0,40.0,2114068627.0,430.0,1289851039.0,474.0,48.0,81.0,1640172800.0,386.0,109.0,5.0,350.0,784.0,0.6904761904761905,0.753968253968254,7.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,1.0,4.0,0.0,218.3584
