spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.memory.fraction,spark.executor.memoryOverhead,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.kryoserializer.buffer,spark.executor.instances,spark.shuffle.io.numConnectionsPerPeer,spark.memory.offHeap.size,spark.shuffle.sort.bypassMergeThreshold,spark.kryoserializer.buffer.max,spark.reducer.maxReqsInFlight,runtime
1559216093.0,1625752830.0,0.7095238095238096,384.0,280.0,61.0,74.0,5.0,2.0,777.0,188.0,32.0,1917350354.0,211.84982352941174
1259224035.0,1967702407.0,0.8365079365079365,392.0,441.0,32.0,32.0,5.0,1.0,640.0,298.0,92.0,1333801848.0,211.17499999999998
1132057773.0,1918759502.0,0.7095238095238096,475.0,360.0,69.0,52.0,8.0,4.0,535.0,161.0,68.0,1920515263.0,211.17499999999998
1565956531.0,1958829558.0,0.753968253968254,384.0,332.0,64.0,61.0,7.0,4.0,130.0,225.0,127.0,1903148544.0,211.17499999999998
1577673868.0,1988194252.0,0.8111111111111111,507.0,232.0,65.0,46.0,6.0,4.0,933.0,155.0,118.0,1347056090.0,211.18644444444442
1392450196.0,1994854089.0,0.7857142857142857,421.0,435.0,63.0,52.0,8.0,4.0,536.0,174.0,127.0,1634057728.0,211.17499999999998
1587275206.0,1959370701.0,0.8746031746031746,469.0,200.0,67.0,52.0,7.0,4.0,567.0,161.0,34.0,1380612570.0,211.17499999999998
1510039159.0,2015267562.0,0.8555555555555556,445.0,405.0,72.0,45.0,6.0,4.0,902.0,152.0,92.0,1347057051.0,211.17499999999998
1314249385.0,2030996203.0,0.861904761904762,443.0,405.0,70.0,69.0,6.0,4.0,902.0,152.0,92.0,1347088849.0,211.17499999999998
1263334915.0,1922429758.0,0.9,438.0,474.0,63.0,40.0,7.0,4.0,517.0,185.0,121.0,1346528960.0,211.17499999999998
1125481633.0,1779735267.0,0.7984126984126985,435.0,358.0,39.0,74.0,5.0,4.0,770.0,228.0,56.0,1366949698.0,211.62983333333332
1229251325.0,1922421310.0,0.8873015873015873,413.0,477.0,61.0,52.0,7.0,4.0,149.0,247.0,121.0,1413637825.0,211.17499999999998
1128313666.0,2035517074.0,0.9,480.0,428.0,45.0,52.0,6.0,4.0,954.0,154.0,105.0,1467643178.0,211.17499999999998
1097457936.0,1889124892.0,0.8873015873015873,498.0,492.0,64.0,52.0,7.0,4.0,157.0,247.0,121.0,1950541505.0,211.17499999999998
1330660875.0,2033458343.0,0.7222222222222222,386.0,461.0,39.0,74.0,6.0,5.0,864.0,205.0,80.0,1094415638.0,211.15625
1298461257.0,1889062942.0,0.6968253968253968,498.0,492.0,70.0,52.0,7.0,5.0,159.0,170.0,81.0,1658475201.0,211.17499999999998
1402198000.0,1889063049.0,0.6968253968253968,477.0,492.0,70.0,52.0,7.0,5.0,143.0,218.0,105.0,1476289833.0,211.17499999999998
1406365912.0,2023555739.0,0.9,495.0,401.0,50.0,50.0,5.0,5.0,801.0,218.0,105.0,1476289856.0,211.17499999999998
1376171184.0,1908904201.0,0.8746031746031746,395.0,492.0,70.0,50.0,7.0,5.0,159.0,164.0,33.0,1710608357.0,211.17499999999998
1514658182.0,2034741513.0,0.861904761904762,395.0,455.0,52.0,50.0,7.0,5.0,159.0,164.0,33.0,1744524229.0,211.17499999999998
1455723669.0,1909839266.0,0.861904761904762,447.0,398.0,72.0,64.0,5.0,3.0,949.0,319.0,32.0,1725288437.0,211.17499999999998
1548190525.0,2035782033.0,0.7412698412698413,457.0,377.0,45.0,59.0,6.0,4.0,865.0,217.0,81.0,1726731205.0,211.17499999999998
1467710558.0,1959122170.0,0.8111111111111111,421.0,359.0,29.0,52.0,7.0,5.0,912.0,340.0,69.0,1727772613.0,211.17499999999998
1429371712.0,1954927866.0,0.8111111111111111,406.0,458.0,29.0,40.0,7.0,5.0,912.0,340.0,69.0,1727772613.0,211.17499999999998
1469663745.0,1903189897.0,0.6968253968253968,480.0,448.0,46.0,64.0,7.0,2.0,813.0,301.0,32.0,1725032711.0,211.17499999999998
1325834971.0,1897308547.0,0.9,488.0,297.0,72.0,44.0,7.0,5.0,912.0,340.0,74.0,1727772612.0,211.17499999999998
1270627801.0,1945430541.0,0.9,461.0,441.0,27.0,32.0,7.0,3.0,789.0,305.0,114.0,1710739244.0,211.17499999999998
1230323968.0,1859323991.0,0.753968253968254,452.0,448.0,50.0,47.0,5.0,5.0,753.0,317.0,40.0,1716899596.0,211.17499999999998
1586398766.0,1876988091.0,0.9,508.0,439.0,35.0,50.0,5.0,3.0,721.0,200.0,38.0,1666377992.0,211.18644444444442
1502804774.0,2015828545.0,0.9,495.0,337.0,32.0,44.0,5.0,4.0,944.0,325.0,55.0,1790696132.0,211.17499999999998
