spark.shuffle.io.numConnectionsPerPeer,spark.executor.memoryOverhead,spark.memory.fraction,spark.reducer.maxBlocksInFlightPerAddress,spark.kryoserializer.buffer,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.sort.bypassMergeThreshold,spark.reducer.maxSizeInFlight,spark.reducer.maxReqsInFlight,spark.default.parallelism,spark.kryoserializer.buffer.max,spark.broadcast.blockSize,spark.scheduler.revive.interval,spark.shuffle.file.buffer,spark.memory.storageFraction,spark.memory.offHeap.size,spark.scheduler.mode,runtime
4.0,449.0,0.6460317460317461,1818634752.0,74.0,1621138175.0,232.0,51.0,1646180096.0,334.0,65.0,54.0,771.0,24.0,0.626984126984127,0.0,1.0,204.23167435271745
4.0,416.0,0.6396825396825396,1818626304.0,74.0,1637915387.0,233.0,51.0,1646180096.0,334.0,65.0,50.0,770.0,26.0,0.626984126984127,0.0,1.0,208.63303814455563
5.0,455.0,0.607936507936508,1860738632.0,74.0,1620231551.0,234.0,51.0,1675501968.0,341.0,58.0,57.0,769.0,24.0,0.626984126984127,0.0,1.0,209.14266777756438
4.0,437.0,0.6460317460317461,1994970711.0,74.0,1620231551.0,234.0,51.0,1675501952.0,341.0,58.0,57.0,769.0,24.0,0.5952380952380952,0.0,1.0,207.57922050366267
4.0,435.0,0.8111111111111111,2112396864.0,74.0,1620237695.0,209.0,51.0,1742611859.0,297.0,65.0,50.0,769.0,24.0,0.626984126984127,0.0,1.0,207.07450229053376
5.0,412.0,0.6460317460317461,1818927087.0,50.0,1622238424.0,225.0,39.0,1910213666.0,307.0,114.0,39.0,744.0,45.0,0.607936507936508,934.0,0.0,207.0336322179591
4.0,404.0,0.5507936507936508,2095748847.0,50.0,1620231551.0,228.0,49.0,1641949055.0,493.0,78.0,40.0,769.0,24.0,0.626984126984127,38.0,0.0,209.27522918253177
5.0,412.0,0.753968253968254,2095761134.0,74.0,1610794369.0,234.0,51.0,1675269503.0,341.0,58.0,56.0,894.0,24.0,0.626984126984127,38.0,0.0,208.5182725761278
5.0,469.0,0.753968253968254,1976223458.0,32.0,1610794369.0,237.0,49.0,1675269407.0,341.0,58.0,56.0,894.0,24.0,0.626984126984127,38.0,0.0,209.42943779919295
5.0,462.0,0.753968253968254,1976288678.0,38.0,1620100483.0,237.0,49.0,1675269407.0,341.0,58.0,56.0,894.0,24.0,0.626984126984127,38.0,0.0,209.42943779919295
5.0,431.0,0.753968253968254,1977272306.0,80.0,1610794369.0,234.0,49.0,1675285791.0,341.0,58.0,56.0,894.0,23.0,0.626984126984127,38.0,0.0,209.89101284110387
4.0,395.0,0.6460317460317461,1757566030.0,74.0,1611318666.0,286.0,48.0,1729958950.0,237.0,106.0,56.0,892.0,24.0,0.626984126984127,896.0,1.0,206.80514679563368
4.0,399.0,0.5317460317460317,1223218510.0,74.0,1611318666.0,285.0,48.0,1729958951.0,237.0,112.0,56.0,892.0,24.0,0.626984126984127,896.0,0.0,207.60676640776433
5.0,401.0,0.7666666666666666,2020116206.0,75.0,1485882787.0,243.0,36.0,1650051271.0,342.0,114.0,34.0,879.0,24.0,0.626984126984127,936.0,0.0,206.8675074906867
4.0,471.0,0.5,1364231386.0,32.0,1631765897.0,341.0,48.0,1946150081.0,345.0,126.0,38.0,894.0,45.0,0.6333333333333333,934.0,0.0,210.48618845707665
5.0,448.0,0.6841269841269841,1708804686.0,123.0,1611851154.0,234.0,52.0,1729811598.0,232.0,112.0,56.0,894.0,23.0,0.607936507936508,932.0,1.0,208.37508576832764
4.0,488.0,0.7095238095238096,1557308890.0,33.0,1094895113.0,289.0,48.0,1928585422.0,345.0,114.0,38.0,933.0,30.0,0.607936507936508,934.0,0.0,206.67254380718367
4.0,489.0,0.734920634920635,1557177754.0,33.0,1090709005.0,308.0,54.0,1733006350.0,345.0,114.0,38.0,933.0,30.0,0.607936507936508,934.0,0.0,206.67254380718367
5.0,505.0,0.6587301587301587,1968735642.0,33.0,1090709133.0,308.0,54.0,1733014542.0,345.0,114.0,38.0,933.0,30.0,0.607936507936508,934.0,0.0,205.308741937911
4.0,497.0,0.5571428571428572,1951958442.0,33.0,1090709133.0,308.0,54.0,1733014542.0,345.0,114.0,38.0,933.0,30.0,0.607936507936508,934.0,0.0,206.07205425750334
4.0,488.0,0.861904761904762,1901626810.0,33.0,1073931921.0,307.0,54.0,1733276686.0,345.0,114.0,39.0,933.0,30.0,0.607936507936508,934.0,0.0,205.308741937911
4.0,445.0,0.6714285714285715,1953531805.0,57.0,1090711053.0,188.0,50.0,1894880450.0,226.0,126.0,38.0,933.0,30.0,0.6587301587301587,960.0,1.0,204.097205027857
5.0,457.0,0.5571428571428572,2119729578.0,33.0,1090709141.0,308.0,54.0,1716237326.0,336.0,90.0,38.0,933.0,30.0,0.607936507936508,934.0,0.0,205.09236177257065
5.0,397.0,0.6714285714285715,2128121257.0,57.0,1074938735.0,330.0,49.0,1729828290.0,302.0,78.0,38.0,933.0,46.0,0.6587301587301587,976.0,1.0,204.61213121496792
4.0,445.0,0.7730158730158729,1832028158.0,39.0,1073931929.0,307.0,52.0,1684010178.0,236.0,123.0,38.0,933.0,29.0,0.8111111111111111,896.0,1.0,203.56924889286444
4.0,445.0,0.7730158730158729,1832028158.0,39.0,1073933977.0,307.0,52.0,1684009154.0,236.0,123.0,38.0,933.0,20.0,0.8111111111111111,897.0,1.0,203.56924889286444
5.0,410.0,0.5571428571428572,1950254258.0,57.0,1083327277.0,305.0,49.0,1729703950.0,255.0,114.0,38.0,932.0,22.0,0.607936507936508,934.0,0.0,204.39100467603913
4.0,491.0,0.5190476190476191,1968280922.0,63.0,1082179421.0,330.0,54.0,1695625258.0,344.0,78.0,39.0,933.0,30.0,0.607936507936508,928.0,1.0,205.38085641496076
4.0,505.0,0.9,1993512920.0,63.0,1082146669.0,334.0,49.0,1973057562.0,325.0,126.0,38.0,918.0,30.0,0.607936507936508,928.0,1.0,204.61754409536837
5.0,456.0,0.5571428571428572,1958614068.0,57.0,1083327277.0,312.0,49.0,1729704007.0,255.0,114.0,38.0,932.0,22.0,0.607936507936508,934.0,0.0,204.39100467603913
