spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.default.parallelism,spark.reducer.maxSizeInFlight,spark.kryoserializer.buffer.max,spark.shuffle.sort.bypassMergeThreshold,spark.reducer.maxReqsInFlight,spark.executor.memoryOverhead,spark.scheduler.revive.interval,spark.kryoserializer.buffer,spark.executor.instances,spark.memory.storageFraction,spark.broadcast.blockSize,runtime
1443441566.0,1576144181.0,437.0,64.0,61.0,279.0,1487481044.0,692.0,589.0,71.0,4.0,0.5571428571428572,40.0,220.52722661272094
1662008614.0,1405531134.0,370.0,45.0,95.0,269.0,1572310572.0,877.0,990.0,86.0,7.0,0.8809523809523809,55.0,224.48423087879905
1637777354.0,1625752830.0,280.0,54.0,70.0,228.0,1632220160.0,446.0,952.0,74.0,8.0,0.626984126984127,55.0,223.01225273025727
1315011956.0,1595472640.0,420.0,42.0,91.0,232.0,1393784459.0,864.0,716.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
1906297738.0,1626351744.0,344.0,54.0,77.0,243.0,1789341184.0,442.0,775.0,74.0,8.0,0.6142857142857143,55.0,222.6321188302217
1583447348.0,1595472640.0,420.0,42.0,91.0,232.0,1393784459.0,864.0,716.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
1906212746.0,1625752830.0,280.0,54.0,69.0,268.0,1827441011.0,442.0,775.0,74.0,8.0,0.6142857142857143,55.0,222.6321188302217
1315011956.0,1595472640.0,356.0,42.0,81.0,269.0,1431884286.0,877.0,990.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
1906212746.0,1625752830.0,336.0,51.0,70.0,228.0,1632577858.0,384.0,510.0,74.0,4.0,0.6777777777777778,37.0,224.52945421379977
1314926964.0,1594873726.0,363.0,42.0,91.0,232.0,1393784510.0,864.0,716.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
1906297738.0,1625752830.0,280.0,54.0,69.0,243.0,1789864307.0,397.0,784.0,98.0,8.0,0.6142857142857143,55.0,229.9851854112901
1315011956.0,1595472766.0,420.0,42.0,91.0,232.0,1393784508.0,877.0,967.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
1906297738.0,1625762046.0,280.0,54.0,71.0,228.0,1626114419.0,397.0,784.0,98.0,8.0,0.6142857142857143,55.0,229.9851854112901
1315011956.0,1595472640.0,354.0,42.0,91.0,221.0,1588647563.0,864.0,716.0,74.0,8.0,0.7857142857142857,43.0,217.85396345906898
2096004957.0,1625752704.0,280.0,54.0,69.0,266.0,1789864307.0,397.0,784.0,98.0,8.0,0.5126984126984127,37.0,229.9851854112901
1851882740.0,1595472702.0,420.0,42.0,91.0,232.0,1393784508.0,876.0,716.0,62.0,8.0,0.7222222222222222,55.0,217.47382955903342
1369341962.0,1625752830.0,337.0,54.0,69.0,268.0,1823222131.0,397.0,784.0,98.0,8.0,0.5190476190476191,41.0,230.36531931132566
1851879668.0,1595472766.0,420.0,42.0,91.0,232.0,1397782155.0,864.0,716.0,74.0,8.0,0.7031746031746031,55.0,217.47382955903342
2096004957.0,1625752704.0,280.0,54.0,69.0,268.0,1827440962.0,385.0,784.0,86.0,4.0,0.6777777777777778,37.0,231.88252079486816
1315011956.0,1595472766.0,420.0,42.0,91.0,232.0,1588647563.0,864.0,716.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
1906212746.0,1625752704.0,280.0,54.0,69.0,268.0,1827440962.0,385.0,784.0,86.0,4.0,0.6777777777777778,37.0,231.88252079486816
1315011956.0,1595472766.0,420.0,42.0,91.0,232.0,1393784508.0,864.0,716.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
1906212746.0,1625752704.0,280.0,54.0,69.0,268.0,1823246659.0,385.0,784.0,86.0,4.0,0.6777777777777778,37.0,231.88252079486816
1125219745.0,1595472766.0,420.0,42.0,91.0,234.0,1431361163.0,864.0,716.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
1906212746.0,1625752704.0,280.0,54.0,69.0,268.0,1823246659.0,397.0,784.0,86.0,4.0,0.6777777777777778,37.0,231.88252079486816
1125219745.0,1595472766.0,420.0,42.0,91.0,234.0,1431361214.0,864.0,716.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
2096004957.0,1625752704.0,280.0,54.0,69.0,268.0,1823246707.0,397.0,784.0,86.0,4.0,0.6777777777777778,37.0,231.88252079486816
1315011956.0,1595472766.0,420.0,42.0,91.0,232.0,1431402171.0,876.0,716.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
1906212746.0,1625752760.0,280.0,54.0,69.0,268.0,1823246659.0,397.0,784.0,86.0,4.0,0.6777777777777778,37.0,231.88252079486816
1315011956.0,1595472760.0,420.0,42.0,91.0,232.0,1397978811.0,864.0,716.0,74.0,8.0,0.7222222222222222,59.0,217.85396345906898
