spark.executor.memoryOverhead,spark.maxRemoteBlockSizeFetchToMem,spark.default.parallelism,spark.kryoserializer.buffer.max,spark.shuffle.sort.bypassMergeThreshold,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.memory.fraction,spark.scheduler.revive.interval,runtime
544.0,1707870217.0,267.0,99.0,268.0,1515335152.0,1827440905.0,0.5952380952380952,923.0,229.17268828875325
454.0,1646009470.0,278.0,80.0,233.0,1168132606.0,1968591358.0,0.8809523809523809,962.0,236.72397329176758
807.0,1575215232.0,423.0,80.0,271.0,2034087808.0,1280587520.0,0.5571428571428572,569.0,229.7873537675673
459.0,1629687804.0,278.0,80.0,233.0,1168132606.0,1968591358.0,0.8809523809523809,963.0,236.72397329176758
802.0,1591992445.0,423.0,80.0,272.0,1965406080.0,1280587520.0,0.5571428571428572,576.0,229.7873537675673
453.0,1612455046.0,278.0,80.0,233.0,1168132606.0,1968589054.0,0.8746031746031746,962.0,236.72397329176758
779.0,1725702908.0,422.0,80.0,272.0,1965029272.0,1244245504.0,0.5190476190476191,545.0,229.7873537675673
459.0,1629687937.0,263.0,80.0,228.0,1253304830.0,1972816638.0,0.8809523809523809,924.0,236.72397329176758
808.0,1608769400.0,422.0,80.0,267.0,2053092864.0,1280587520.0,0.5253968253968254,538.0,229.7873537675673
459.0,1629232515.0,277.0,80.0,233.0,1168132606.0,1940638462.0,0.8746031746031746,969.0,236.72397329176758
802.0,1591536891.0,459.0,80.0,267.0,2052962176.0,1280587520.0,0.5571428571428572,576.0,229.7873537675673
455.0,1631329410.0,277.0,80.0,233.0,1168132606.0,1940637950.0,0.8809523809523809,962.0,236.72397329176758
802.0,1591536891.0,437.0,79.0,285.0,1965406080.0,1280617984.0,0.5190476190476191,537.0,229.7873537675673
459.0,1629346178.0,301.0,89.0,283.0,1168132606.0,1940637950.0,0.8428571428571429,924.0,236.72397329176758
802.0,1591536884.0,399.0,71.0,207.0,2053093248.0,1280587520.0,0.5253968253968254,531.0,229.7873537675673
459.0,1629687810.0,302.0,80.0,233.0,1235241086.0,1940637950.0,0.8428571428571429,924.0,236.72397329176758
807.0,1574839167.0,423.0,80.0,272.0,2052962176.0,1280587008.0,0.5317460317460317,577.0,229.7873537675673
454.0,1646385535.0,241.0,81.0,215.0,1255295102.0,1940637950.0,0.8428571428571429,923.0,236.72397329176758
802.0,1591878524.0,422.0,80.0,257.0,2053093248.0,1280587520.0,0.5317460317460317,576.0,229.7873537675673
455.0,1629345922.0,282.0,89.0,293.0,1168263294.0,1940637950.0,0.8809523809523809,962.0,236.72397329176758
802.0,1591878907.0,460.0,71.0,207.0,2052962176.0,1280587520.0,0.5253968253968254,537.0,229.7873537675673
455.0,1631329410.0,301.0,89.0,293.0,1168132222.0,1940637950.0,0.8809523809523809,962.0,236.72397329176758
806.0,1589896443.0,497.0,80.0,267.0,2052962176.0,1280587520.0,0.5253968253968254,538.0,229.7873537675673
486.0,1631328386.0,240.0,89.0,293.0,1168263294.0,1940637950.0,0.8746031746031746,955.0,236.72397329176758
806.0,1589895292.0,422.0,80.0,257.0,2053093248.0,1280587520.0,0.5253968253968254,538.0,229.7873537675673
455.0,1629346946.0,282.0,80.0,243.0,1168263294.0,1940637950.0,0.8746031746031746,962.0,236.72397329176758
806.0,1591878780.0,460.0,71.0,207.0,2052962176.0,1280587520.0,0.5190476190476191,538.0,229.7873537675673
455.0,1629232258.0,278.0,80.0,243.0,1168263294.0,1940637950.0,0.8746031746031746,962.0,236.72397329176758
775.0,1591894140.0,422.0,77.0,207.0,2052962176.0,1280587520.0,0.5190476190476191,545.0,229.7873537675673
455.0,1627592834.0,282.0,89.0,293.0,1168263294.0,1940637950.0,0.8746031746031746,962.0,236.72397329176758
