spark.memory.fraction,spark.executor.instances,spark.reducer.maxReqsInFlight,spark.maxRemoteBlockSizeFetchToMem,spark.executor.memoryOverhead,spark.default.parallelism,spark.kryoserializer.buffer,spark.scheduler.revive.interval,spark.shuffle.sort.bypassMergeThreshold,runtime
0.6460317460317461,8.0,1646180096.0,1621138175.0,449.0,334.0,74.0,771.0,232.0,211.23476000000002
0.8428571428571429,8.0,1776959761.0,1587583788.0,449.0,334.0,80.0,770.0,232.0,213.45995000000002
0.8809523809523809,8.0,1651929281.0,1621758983.0,415.0,295.0,73.0,783.0,232.0,213.41913000000005
0.5888888888888889,8.0,1674486211.0,1619657607.0,423.0,335.0,62.0,766.0,211.0,214.10138000000003
0.6714285714285715,8.0,1990309395.0,1113754456.0,447.0,344.0,75.0,766.0,220.0,213.81066999999993
0.8238095238095238,8.0,1923327579.0,1133751268.0,447.0,344.0,75.0,766.0,220.0,213.48849999999996
0.6587301587301587,8.0,1935334681.0,1421093650.0,448.0,330.0,73.0,835.0,221.0,214.40188999999998
0.6523809523809524,8.0,1991485276.0,1421093651.0,448.0,330.0,74.0,835.0,221.0,213.74092999999996
0.8174603174603174,8.0,1927319064.0,1114302383.0,454.0,325.0,74.0,774.0,221.0,214.70336000000003
0.6460317460317461,8.0,1659940377.0,1182459805.0,454.0,325.0,74.0,774.0,170.0,214.18677999999997
0.6904761904761905,8.0,1946028384.0,1237032328.0,462.0,295.0,72.0,766.0,219.0,215.2728
0.6460317460317461,8.0,1832256524.0,1498673590.0,444.0,248.0,101.0,797.0,312.0,215.22644000000003
0.8873015873015873,8.0,2146453414.0,1515874194.0,485.0,325.0,99.0,528.0,206.0,215.07501000000008
0.6968253968253968,8.0,1812078828.0,1531628819.0,412.0,295.0,72.0,756.0,222.0,215.80885999999998
0.6777777777777778,8.0,1745002732.0,1531632931.0,412.0,295.0,74.0,756.0,247.0,215.11626999999996
0.7603174603174603,8.0,1858266364.0,1515114542.0,441.0,344.0,120.0,522.0,232.0,214.47416
0.8555555555555556,8.0,1686319718.0,1532652835.0,442.0,310.0,60.0,756.0,247.0,214.07141999999996
0.5380952380952381,8.0,1749742877.0,1549863262.0,427.0,304.0,108.0,756.0,222.0,215.13282999999998
0.607936507936508,8.0,1751053372.0,1545675087.0,427.0,285.0,108.0,756.0,247.0,216.44503999999998
0.6396825396825396,8.0,1952356389.0,1397426883.0,408.0,296.0,127.0,837.0,348.0,214.42743000000002
0.8873015873015873,8.0,1767829898.0,1438341955.0,439.0,296.0,95.0,756.0,348.0,213.04387000000008
0.5063492063492063,8.0,1753164919.0,1583798643.0,397.0,304.0,114.0,819.0,199.0,215.69243999999998
0.8555555555555556,8.0,1762513862.0,1494061677.0,423.0,285.0,84.0,772.0,241.0,215.11573
0.6396825396825396,8.0,1990681030.0,1584260463.0,396.0,303.0,70.0,943.0,260.0,215.15756999999994
0.7095238095238096,8.0,1781901249.0,1232363427.0,458.0,289.0,108.0,819.0,249.0,214.10234000000008
0.7857142857142857,8.0,2065016767.0,1264153172.0,424.0,285.0,108.0,819.0,249.0,215.4000600000001
0.7984126984126985,8.0,2133172934.0,1532523060.0,424.0,202.0,102.0,848.0,160.0,215.5794600000001
0.8428571428571429,8.0,2117309442.0,1403825066.0,412.0,322.0,99.0,848.0,261.0,214.30419000000012
0.8301587301587301,8.0,1684511746.0,1403272110.0,412.0,322.0,99.0,848.0,261.0,213.86044000000012
0.7222222222222222,8.0,1953492226.0,1403272878.0,412.0,322.0,104.0,813.0,239.0,214.4902900000001
