spark.executor.instances,spark.memory.fraction,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxReqsInFlight,spark.kryoserializer.buffer.max,spark.broadcast.blockSize,spark.executor.memoryOverhead,spark.shuffle.sort.bypassMergeThreshold,spark.default.parallelism,spark.reducer.maxBlocksInFlightPerAddress,spark.scheduler.revive.interval,spark.reducer.maxSizeInFlight,spark.memory.storageFraction,runtime
8.0,0.7095238095238096,1439489438.0,1141528201.0,117.0,48.0,445.0,161.0,360.0,1364761151.0,594.0,69.0,0.8682539682539683,210.88106
8.0,0.7920634920634921,1617906879.0,1655156243.0,114.0,54.0,807.0,225.0,306.0,1863461000.0,775.0,54.0,0.6142857142857143,209.10352
8.0,0.8301587301587301,1369997392.0,1742090646.0,64.0,57.0,619.0,243.0,307.0,1487806455.0,743.0,56.0,0.6142857142857143,208.2276
8.0,0.5825396825396826,1302525177.0,1771025425.0,115.0,58.0,480.0,244.0,332.0,1847994881.0,771.0,36.0,0.607936507936508,203.9059
8.0,0.7920634920634921,1302638825.0,1764472464.0,114.0,49.0,411.0,228.0,344.0,2131782151.0,787.0,53.0,0.607936507936508,203.76892
8.0,0.7920634920634921,1298444523.0,1764490928.0,114.0,57.0,411.0,228.0,344.0,2131782151.0,787.0,53.0,0.5063492063492063,203.75787
8.0,0.5952380952380952,1336447185.0,1225520864.0,115.0,57.0,411.0,228.0,494.0,2131765767.0,912.0,53.0,0.607936507936508,203.2024
8.0,0.5761904761904761,1487508941.0,2036313250.0,86.0,42.0,484.0,245.0,344.0,1999727383.0,759.0,53.0,0.6333333333333333,205.76122
8.0,0.5634920634920635,1336935664.0,1342673936.0,115.0,57.0,411.0,225.0,494.0,2140154391.0,920.0,53.0,0.6333333333333333,206.87077
8.0,0.5761904761904761,1262877567.0,1103852645.0,109.0,49.0,454.0,211.0,353.0,2131765767.0,912.0,53.0,0.607936507936508,202.30803
8.0,0.5761904761904761,1262877567.0,1103852661.0,109.0,49.0,454.0,212.0,353.0,2131765767.0,912.0,53.0,0.607936507936508,202.30803
8.0,0.5761904761904761,1262878095.0,1167320117.0,109.0,49.0,454.0,212.0,372.0,2132027911.0,912.0,53.0,0.607936507936508,202.30803
8.0,0.7476190476190476,1601985720.0,1760341185.0,106.0,49.0,454.0,312.0,201.0,1404711703.0,922.0,53.0,0.6333333333333333,206.54684
8.0,0.5507936507936508,1229356000.0,1821269157.0,92.0,53.0,717.0,211.0,361.0,1127754247.0,928.0,53.0,0.607936507936508,204.26717
8.0,0.5761904761904761,1305410252.0,1835230269.0,124.0,49.0,454.0,312.0,201.0,1404711704.0,922.0,53.0,0.6333333333333333,204.23022
8.0,0.5761904761904761,1305410248.0,1835224077.0,100.0,49.0,454.0,312.0,201.0,1404711704.0,937.0,53.0,0.6333333333333333,204.23022
8.0,0.5571428571428572,1464626558.0,1392223269.0,106.0,49.0,470.0,212.0,361.0,1117295150.0,795.0,53.0,0.6333333333333333,206.6497
8.0,0.5952380952380952,1409046755.0,1109310530.0,118.0,42.0,430.0,206.0,222.0,1595681298.0,912.0,65.0,0.607936507936508,202.55289
8.0,0.5444444444444444,1393900215.0,1802719110.0,106.0,37.0,473.0,222.0,400.0,1595681299.0,912.0,65.0,0.607936507936508,204.1764
8.0,0.5,1438906612.0,1893416034.0,94.0,42.0,408.0,206.0,361.0,1117688364.0,910.0,41.0,0.8238095238095238,203.96606
8.0,0.5507936507936508,1087895876.0,1893284966.0,94.0,42.0,408.0,206.0,361.0,1327246124.0,910.0,41.0,0.8238095238095238,203.96606
8.0,0.5571428571428572,1438894068.0,1889483875.0,94.0,42.0,408.0,205.0,351.0,1327403560.0,908.0,41.0,0.8238095238095238,203.96606
8.0,0.5063492063492063,1435617269.0,1887870658.0,118.0,42.0,408.0,205.0,351.0,1327403561.0,908.0,41.0,0.8238095238095238,203.96606
8.0,0.6142857142857143,1130200039.0,1802689442.0,100.0,34.0,410.0,206.0,366.0,1121622539.0,908.0,41.0,0.607936507936508,203.96606
8.0,0.7222222222222222,1439907831.0,2029641158.0,118.0,58.0,408.0,230.0,359.0,1658458172.0,910.0,41.0,0.8238095238095238,206.40564
8.0,0.5126984126984127,1126038760.0,1802652570.0,100.0,34.0,412.0,206.0,364.0,1390053891.0,908.0,41.0,0.607936507936508,203.96606
8.0,0.5190476190476191,1193123032.0,1878134682.0,102.0,34.0,412.0,206.0,364.0,1390053891.0,908.0,41.0,0.607936507936508,203.96606
8.0,0.5888888888888889,1368430098.0,1987057285.0,118.0,37.0,470.0,206.0,366.0,1327443602.0,912.0,68.0,0.6206349206349207,203.96095
8.0,0.5507936507936508,1168945519.0,1715441158.0,121.0,44.0,408.0,182.0,247.0,1109338770.0,912.0,38.0,0.8238095238095238,203.96606
8.0,0.7730158730158729,1606505306.0,2025412130.0,89.0,39.0,408.0,204.0,440.0,1258271291.0,909.0,41.0,0.8238095238095238,206.0848
