spark.executor.cores,spark.executor.memory,spark.shuffle.io.numConnectionsPerPeer,spark.memory.storageFraction,spark.executor.instances,spark.shuffle.file.buffer,spark.broadcast.blockSize,spark.default.parallelism,spark.kryoserializer.buffer,spark.memory.fraction,spark.storage.memoryMapThreshold,runtime
2.0,5.0,4.0,0.5952380952380952,8.0,20.0,57.0,341.0,74.0,0.626984126984127,2.0,266.8957849703081
4.0,7.0,4.0,0.6142857142857143,8.0,24.0,56.0,345.0,74.0,0.6587301587301587,2.0,222.5494074944445
4.0,6.0,5.0,0.626984126984127,8.0,17.0,52.0,285.0,98.0,0.6396825396825396,2.0,220.6011224704546
4.0,6.0,5.0,0.626984126984127,8.0,17.0,50.0,435.0,98.0,0.8428571428571429,2.0,220.6011224704546
4.0,7.0,5.0,0.6333333333333333,8.0,17.0,56.0,360.0,98.0,0.6587301587301587,2.0,220.59092345976862
4.0,5.0,5.0,0.6333333333333333,8.0,18.0,56.0,360.0,98.0,0.8492063492063492,2.0,220.59092345976862
4.0,6.0,4.0,0.626984126984127,8.0,17.0,56.0,398.0,98.0,0.8428571428571429,2.0,220.77052192991516
4.0,5.0,4.0,0.626984126984127,8.0,18.0,58.0,473.0,98.0,0.6587301587301587,2.0,220.77052192991516
4.0,3.0,5.0,0.6142857142857143,8.0,18.0,60.0,208.0,98.0,0.8428571428571429,2.0,220.6011224704546
4.0,5.0,5.0,0.6015873015873016,8.0,18.0,58.0,433.0,98.0,0.8428571428571429,2.0,220.46865594561942
4.0,6.0,5.0,0.5253968253968254,8.0,18.0,58.0,473.0,98.0,0.665079365079365,2.0,220.46865594561942
4.0,5.0,5.0,0.5253968253968254,8.0,18.0,60.0,210.0,97.0,0.6587301587301587,2.0,220.46865594561942
4.0,6.0,5.0,0.5,8.0,18.0,60.0,210.0,97.0,0.6587301587301587,2.0,220.46865594561942
4.0,5.0,5.0,0.6396825396825396,8.0,18.0,57.0,433.0,98.0,0.8428571428571429,2.0,220.59092345976862
4.0,6.0,5.0,0.5253968253968254,8.0,18.0,64.0,210.0,98.0,0.8428571428571429,2.0,220.46865594561942
4.0,4.0,5.0,0.6396825396825396,8.0,17.0,60.0,471.0,98.0,0.8428571428571429,2.0,220.59092345976862
4.0,4.0,5.0,0.5253968253968254,8.0,18.0,64.0,210.0,98.0,0.8428571428571429,2.0,220.46865594561942
4.0,3.0,5.0,0.6396825396825396,8.0,18.0,57.0,434.0,98.0,0.8428571428571429,2.0,220.59092345976862
4.0,5.0,5.0,0.6460317460317461,8.0,17.0,63.0,433.0,98.0,0.8428571428571429,1.0,220.59092345976862
4.0,5.0,5.0,0.6396825396825396,8.0,18.0,57.0,433.0,98.0,0.7412698412698413,2.0,220.59092345976862
4.0,6.0,5.0,0.6396825396825396,8.0,17.0,64.0,433.0,98.0,0.8428571428571429,2.0,220.59092345976862
4.0,5.0,5.0,0.6396825396825396,8.0,18.0,60.0,279.0,98.0,0.8428571428571429,2.0,220.59092345976862
4.0,3.0,5.0,0.6206349206349207,8.0,18.0,57.0,430.0,98.0,0.8428571428571429,2.0,220.6011224704546
4.0,5.0,5.0,0.6333333333333333,8.0,17.0,57.0,208.0,95.0,0.6904761904761905,2.0,220.59092345976862
4.0,4.0,4.0,0.6333333333333333,8.0,16.0,57.0,218.0,98.0,0.6396825396825396,2.0,220.76032291922917
4.0,6.0,5.0,0.6333333333333333,8.0,17.0,63.0,208.0,98.0,0.7412698412698413,2.0,220.59092345976862
4.0,4.0,5.0,0.6333333333333333,8.0,18.0,61.0,203.0,98.0,0.8428571428571429,2.0,220.59092345976862
4.0,4.0,5.0,0.6333333333333333,8.0,17.0,63.0,208.0,98.0,0.7412698412698413,2.0,220.59092345976862
4.0,5.0,5.0,0.6333333333333333,8.0,18.0,63.0,208.0,98.0,0.7412698412698413,2.0,220.59092345976862
4.0,4.0,5.0,0.6396825396825396,8.0,18.0,56.0,255.0,98.0,0.7158730158730159,2.0,220.59092345976862
