spark.executor.memory,spark.executor.cores,spark.executor.instances,runtime
6.0,3.0,6.0,210.7788698492054
7.0,4.0,8.0,203.8582540238083
6.0,3.0,8.0,197.23316391656604
6.0,2.0,8.0,204.26882865830234
5.0,4.0,8.0,207.01817397572023
6.0,2.0,8.0,204.26882865830234
6.0,4.0,8.0,197.23316391656604
7.0,3.0,8.0,203.8582540238083
6.0,2.0,8.0,204.26882865830234
6.0,2.0,8.0,204.26882865830234
6.0,3.0,8.0,197.23316391656604
5.0,4.0,8.0,207.01817397572023
7.0,3.0,8.0,203.8582540238083
6.0,2.0,8.0,204.26882865830234
6.0,4.0,8.0,197.23316391656604
6.0,2.0,8.0,204.26882865830234
6.0,4.0,8.0,197.23316391656604
6.0,3.0,8.0,197.23316391656604
6.0,3.0,8.0,197.23316391656604
7.0,4.0,8.0,203.8582540238083
6.0,3.0,8.0,197.23316391656604
6.0,3.0,8.0,197.23316391656604
6.0,3.0,8.0,197.23316391656604
6.0,3.0,8.0,197.23316391656604
6.0,3.0,8.0,197.23316391656604
7.0,4.0,8.0,203.8582540238083
7.0,4.0,8.0,203.8582540238083
7.0,3.0,8.0,203.8582540238083
6.0,3.0,8.0,197.23316391656604
6.0,3.0,8.0,197.23316391656604
