spark.executor.memoryOverhead,spark.scheduler.revive.interval,spark.shuffle.file.buffer,spark.memory.fraction,spark.default.parallelism,spark.kryoserializer.buffer.max,spark.maxRemoteBlockSizeFetchToMem,runtime
396.0,766.0,20.0,0.626984126984127,341.0,64.0,1620198783.0,227.85391986806042
764.0,756.0,18.0,0.6142857142857143,393.0,34.0,1899564058.0,202.85542576684512
384.0,750.0,21.0,0.626984126984127,347.0,80.0,1570672783.0,223.90741134098582
764.0,756.0,27.0,0.7666666666666666,393.0,34.0,2117279504.0,215.8458274160798
497.0,743.0,21.0,0.626984126984127,341.0,64.0,1619844467.0,197.62371896139126
877.0,734.0,43.0,0.7730158730158729,354.0,95.0,2117279568.0,253.86658218616938
497.0,750.0,21.0,0.626984126984127,347.0,80.0,1569496447.0,192.10976939913633
816.0,750.0,43.0,0.7730158730158729,353.0,80.0,1651727231.0,253.86658218616938
496.0,750.0,21.0,0.626984126984127,347.0,80.0,1569496447.0,208.6002792871927
865.0,750.0,43.0,0.7730158730158729,353.0,80.0,1650551791.0,253.86658218616938
496.0,750.0,21.0,0.626984126984127,343.0,80.0,1571609919.0,208.6002792871927
816.0,750.0,43.0,0.7730158730158729,353.0,80.0,1651727231.0,253.86658218616938
496.0,750.0,21.0,0.626984126984127,347.0,80.0,1571609919.0,208.6002792871927
816.0,740.0,40.0,0.7730158730158729,353.0,80.0,1651727231.0,253.86658218616938
496.0,750.0,21.0,0.626984126984127,347.0,80.0,1569497471.0,208.6002792871927
765.0,750.0,35.0,0.7730158730158729,353.0,80.0,1651727231.0,253.86658218616938
499.0,750.0,21.0,0.626984126984127,347.0,80.0,1569497471.0,192.10976939913633
765.0,748.0,35.0,0.7730158730158729,353.0,80.0,1651727231.0,253.86658218616938
499.0,750.0,21.0,0.626984126984127,347.0,80.0,1569497471.0,192.10976939913633
762.0,750.0,43.0,0.7730158730158729,353.0,80.0,1651727231.0,253.86658218616938
499.0,750.0,29.0,0.626984126984127,347.0,80.0,1569497471.0,192.10976939913633
762.0,750.0,35.0,0.7730158730158729,353.0,80.0,1651727231.0,253.86658218616938
499.0,750.0,29.0,0.626984126984127,347.0,80.0,1569497471.0,192.10976939913633
762.0,750.0,35.0,0.7730158730158729,353.0,80.0,1651727231.0,253.86658218616938
499.0,750.0,21.0,0.626984126984127,347.0,80.0,1569497471.0,192.10976939913633
764.0,750.0,43.0,0.7730158730158729,353.0,80.0,1651727231.0,253.86658218616938
497.0,750.0,21.0,0.626984126984127,347.0,80.0,1569497471.0,192.10976939913633
762.0,750.0,35.0,0.7730158730158729,353.0,80.0,1651727231.0,253.86658218616938
499.0,750.0,21.0,0.626984126984127,347.0,80.0,1569497471.0,192.10976939913633
762.0,750.0,35.0,0.7730158730158729,353.0,80.0,1651727231.0,253.86658218616938
