spark.executor.cores,spark.executor.memory,spark.default.parallelism,spark.memory.storageFraction,spark.kryoserializer.buffer,spark.reducer.maxSizeInFlight,spark.executor.instances,spark.memory.fraction,spark.shuffle.sort.bypassMergeThreshold,spark.shuffle.file.buffer,spark.shuffle.io.numConnectionsPerPeer,spark.reducer.maxReqsInFlight,spark.kryoserializer.buffer.max,spark.broadcast.blockSize,spark.executor.memoryOverhead,spark.broadcast.compress,spark.maxRemoteBlockSizeFetchToMem,spark.reducer.maxBlocksInFlightPerAddress,spark.scheduler.revive.interval,spark.locality.wait,spark.memory.offHeap.size,spark.storage.memoryMapThreshold,spark.shuffle.compress,spark.broadcast.checksum,runtime
2.0,5.0,346.0,0.6142857142857143,74.0,56.0,8.0,0.626984126984127,214.0,21.0,4.0,1691712000.0,61.0,58.0,384.0,0.0,1638957056.0,1814493696.0,750.0,5.0,0.0,2.0,0.0,1.0,254.83178
2.0,5.0,333.0,0.6396825396825396,73.0,53.0,8.0,0.6777777777777778,232.0,25.0,5.0,1632601122.0,126.0,40.0,744.0,1.0,1334243553.0,1085022199.0,744.0,4.0,256.0,2.0,0.0,1.0,255.66800000000003
2.0,5.0,334.0,0.6142857142857143,71.0,56.0,8.0,0.626984126984127,214.0,21.0,3.0,1691712000.0,37.0,46.0,384.0,1.0,1638963968.0,1278147072.0,876.0,5.0,0.0,2.0,0.0,1.0,253.71663000000007
4.0,6.0,334.0,0.6333333333333333,72.0,64.0,8.0,0.5444444444444444,244.0,23.0,4.0,1109300992.0,65.0,54.0,454.0,0.0,1621170943.0,1818698240.0,771.0,5.0,0.0,2.0,0.0,1.0,253.52070000000003
4.0,6.0,334.0,0.607936507936508,74.0,70.0,8.0,0.5571428571428572,239.0,26.0,4.0,1629179920.0,65.0,51.0,572.0,0.0,1629524097.0,1857100608.0,771.0,7.0,16.0,2.0,0.0,1.0,253.41315000000006
3.0,6.0,334.0,0.607936507936508,71.0,70.0,8.0,0.5571428571428572,239.0,26.0,4.0,1629179920.0,65.0,51.0,570.0,0.0,1629524097.0,1856960528.0,771.0,7.0,16.0,2.0,0.0,1.0,253.41078000000005
3.0,6.0,316.0,0.6523809523809524,75.0,64.0,8.0,0.5444444444444444,244.0,22.0,4.0,1631277587.0,65.0,35.0,602.0,0.0,1697050893.0,1819746816.0,771.0,5.0,0.0,2.0,0.0,1.0,253.33302000000003
3.0,7.0,316.0,0.6015873015873016,75.0,64.0,8.0,0.5444444444444444,244.0,22.0,4.0,1629180436.0,59.0,35.0,392.0,1.0,1638330651.0,1819615744.0,771.0,5.0,0.0,2.0,0.0,1.0,253.38556000000005
3.0,7.0,316.0,0.6015873015873016,71.0,64.0,8.0,0.5190476190476191,194.0,22.0,4.0,1629180436.0,59.0,35.0,392.0,1.0,1638330651.0,1819615744.0,771.0,5.0,0.0,2.0,0.0,1.0,253.36987000000005
2.0,5.0,297.0,0.607936507936508,70.0,71.0,7.0,0.861904761904762,214.0,20.0,2.0,1113502530.0,68.0,58.0,446.0,0.0,1705406739.0,1819746944.0,802.0,5.0,0.0,2.0,0.0,1.0,253.24928000000008
