spark.executor.memoryOverhead,spark.executor.instances,spark.reducer.maxReqsInFlight,spark.reducer.maxBlocksInFlightPerAddress,spark.scheduler.revive.interval,spark.memory.fraction,spark.default.parallelism,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.sort.bypassMergeThreshold,spark.memory.storageFraction,spark.shuffle.compress,spark.executor.memory,spark.kryoserializer.buffer.max,spark.reducer.maxSizeInFlight,spark.shuffle.io.numConnectionsPerPeer,runtime
384.0,8.0,1902051975.0,1269014963.0,512.0,0.5380952380952381,358.0,1660511439.0,220.0,0.5952380952380952,0.0,3.0,83.0,45.0,5.0,229.15631984363932
877.0,8.0,1994980491.0,1722246591.0,906.0,0.6904761904761905,340.0,1780037285.0,295.0,0.7222222222222222,0.0,4.0,92.0,45.0,4.0,250.7079156843771
445.0,8.0,1141528201.0,1364761148.0,750.0,0.626984126984127,346.0,1716504621.0,214.0,0.6142857142857143,0.0,4.0,117.0,69.0,4.0,229.15631984363932
862.0,4.0,1552356478.0,1482221438.0,710.0,0.7412698412698413,367.0,1638951551.0,279.0,0.8238095238095238,0.0,4.0,92.0,45.0,4.0,279.4762933227672
480.0,8.0,1617476608.0,1817951962.0,952.0,0.7285714285714285,378.0,1936104116.0,234.0,0.6142857142857143,0.0,5.0,65.0,51.0,4.0,229.15631984363932
801.0,4.0,2079697917.0,1857980579.0,687.0,0.7412698412698413,285.0,1110646780.0,279.0,0.8238095238095238,0.0,4.0,92.0,42.0,2.0,286.88210838706834
480.0,8.0,1617476737.0,1361270912.0,790.0,0.6587301587301587,334.0,1716227819.0,205.0,0.6968253968253968,0.0,5.0,70.0,54.0,4.0,229.15631984363932
781.0,4.0,1603748734.0,1445308286.0,710.0,0.7412698412698413,340.0,1285120586.0,266.0,0.7857142857142857,1.0,5.0,95.0,45.0,2.0,286.88210838706834
480.0,8.0,1617476736.0,1789089920.0,790.0,0.6587301587301587,336.0,1504739358.0,232.0,0.626984126984127,0.0,5.0,65.0,51.0,4.0,229.15631984363932
781.0,4.0,1603748734.0,1445308286.0,710.0,0.7412698412698413,365.0,1605397122.0,266.0,0.7857142857142857,1.0,5.0,95.0,45.0,2.0,286.88210838706834
480.0,8.0,1617641472.0,1817951872.0,790.0,0.6587301587301587,265.0,2100270844.0,232.0,0.6142857142857143,0.0,5.0,65.0,51.0,4.0,229.15631984363932
781.0,4.0,1603748734.0,1432109348.0,930.0,0.7412698412698413,435.0,1120953849.0,266.0,0.7857142857142857,1.0,5.0,95.0,45.0,2.0,286.88210838706834
480.0,8.0,1617476736.0,1775802943.0,539.0,0.6587301587301587,333.0,1582273152.0,234.0,0.6142857142857143,0.0,5.0,71.0,54.0,4.0,229.15631984363932
770.0,4.0,1592798078.0,1445242750.0,710.0,0.7412698412698413,367.0,1638951558.0,226.0,0.7031746031746031,1.0,5.0,95.0,45.0,2.0,286.88210838706834
449.0,8.0,1615484544.0,1755561690.0,570.0,0.6587301587301587,411.0,1438095258.0,272.0,0.6968253968253968,0.0,5.0,77.0,51.0,4.0,229.15631984363932
812.0,4.0,1603749886.0,1403479422.0,679.0,0.7412698412698413,289.0,1783129444.0,231.0,0.7730158730158729,1.0,5.0,95.0,45.0,2.0,286.88210838706834
480.0,8.0,1627996160.0,1817951872.0,790.0,0.6587301587301587,333.0,1582274363.0,174.0,0.6968253968253968,0.0,5.0,65.0,51.0,4.0,229.15631984363932
781.0,4.0,1593229310.0,1403273598.0,710.0,0.7412698412698413,367.0,1638950339.0,326.0,0.7031746031746031,1.0,5.0,95.0,45.0,2.0,286.88210838706834
449.0,8.0,1628002304.0,1789090312.0,790.0,0.6587301587301587,347.0,2032942753.0,259.0,0.6142857142857143,0.0,5.0,65.0,51.0,4.0,229.15631984363932
772.0,4.0,1603571710.0,1403404670.0,710.0,0.7412698412698413,367.0,1638950279.0,268.0,0.7031746031746031,1.0,5.0,95.0,45.0,2.0,286.88210838706834
449.0,8.0,1615484544.0,1818450440.0,790.0,0.6587301587301587,347.0,2032942861.0,274.0,0.6142857142857143,0.0,5.0,65.0,51.0,4.0,229.15631984363932
812.0,4.0,1603643774.0,1432633726.0,710.0,0.7412698412698413,365.0,1624489461.0,241.0,0.7857142857142857,1.0,5.0,95.0,45.0,2.0,286.88210838706834
489.0,8.0,1617641472.0,1789090312.0,790.0,0.6587301587301587,347.0,2032942860.0,234.0,0.6142857142857143,0.0,5.0,65.0,51.0,4.0,229.15631984363932
781.0,4.0,1593163774.0,1432135166.0,710.0,0.7920634920634921,353.0,1188281950.0,266.0,0.7857142857142857,1.0,5.0,95.0,45.0,2.0,286.88210838706834
449.0,8.0,1617581696.0,1789116032.0,790.0,0.6587301587301587,333.0,2100051600.0,232.0,0.6142857142857143,0.0,5.0,65.0,51.0,4.0,229.15631984363932
781.0,4.0,1593098238.0,1432109438.0,710.0,0.7412698412698413,367.0,1121173101.0,241.0,0.7857142857142857,1.0,5.0,95.0,42.0,2.0,286.88210838706834
458.0,8.0,1617643136.0,1789090312.0,790.0,0.6587301587301587,336.0,1496071968.0,259.0,0.6142857142857143,0.0,5.0,65.0,54.0,4.0,229.15631984363932
812.0,4.0,1593156990.0,1432135158.0,710.0,0.7412698412698413,353.0,1188281949.0,241.0,0.7857142857142857,1.0,5.0,95.0,45.0,2.0,286.88210838706834
480.0,8.0,1615484928.0,1789090312.0,790.0,0.6587301587301587,347.0,1496071969.0,259.0,0.6142857142857143,0.0,5.0,65.0,51.0,4.0,229.15631984363932
781.0,4.0,1593163774.0,1432135158.0,710.0,0.7412698412698413,364.0,1725152733.0,241.0,0.7857142857142857,1.0,5.0,95.0,45.0,2.0,286.88210838706834
