spark.executor.memory,spark.executor.cores,spark.kryoserializer.buffer.max,spark.reducer.maxBlocksInFlightPerAddress,spark.maxRemoteBlockSizeFetchToMem,spark.memory.storageFraction,spark.kryoserializer.buffer,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.memory.fraction,spark.shuffle.sort.bypassMergeThreshold,spark.executor.memoryOverhead,spark.executor.instances,spark.default.parallelism,spark.broadcast.blockSize,spark.scheduler.revive.interval,spark.shuffle.io.numConnectionsPerPeer,spark.storage.memoryMapThreshold,spark.memory.offHeap.size,spark.shuffle.file.buffer,spark.locality.wait,spark.broadcast.compress,spark.shuffle.compress,runtime
5.0,2.0,99.0,1515335152.0,1707870217.0,0.8873015873015873,95.0,1827440905.0,64.0,0.5952380952380952,268.0,544.0,7.0,267.0,34.0,923.0,1.0,3.0,0.0,34.0,4.0,0.0,0.0,257.50327000000004
5.0,2.0,93.0,1515334832.0,1707873256.0,0.626984126984127,74.0,1668868992.0,54.0,0.6396825396825396,218.0,421.0,7.0,267.0,34.0,923.0,1.0,3.0,0.0,34.0,4.0,0.0,0.0,257.62327000000005
4.0,2.0,104.0,1432132159.0,1307433406.0,0.8047619047619048,92.0,1149951904.0,64.0,0.5952380952380952,252.0,544.0,6.0,270.0,39.0,744.0,4.0,4.0,934.0,46.0,4.0,1.0,0.0,257.1527100000001
7.0,3.0,116.0,1116508151.0,1333891454.0,0.6142857142857143,74.0,1616819202.0,54.0,0.6142857142857143,216.0,422.0,8.0,248.0,42.0,916.0,4.0,2.0,7.0,27.0,5.0,0.0,0.0,256.58020000000005
7.0,3.0,116.0,1116511999.0,1334416254.0,0.6142857142857143,74.0,1612624898.0,54.0,0.6142857142857143,216.0,422.0,8.0,248.0,42.0,916.0,4.0,4.0,7.0,27.0,5.0,0.0,0.0,256.51591
5.0,2.0,114.0,1096359449.0,1406126262.0,0.8873015873015873,122.0,1253309800.0,64.0,0.7920634920634921,278.0,544.0,6.0,270.0,39.0,744.0,4.0,3.0,535.0,27.0,5.0,0.0,0.0,256.2254700000001
6.0,3.0,126.0,1122803414.0,1336515445.0,0.6142857142857143,49.0,1679818215.0,61.0,0.7920634920634921,278.0,544.0,6.0,270.0,39.0,744.0,4.0,3.0,534.0,38.0,5.0,0.0,0.0,255.8362000000001
4.0,3.0,114.0,1113178203.0,1942735139.0,0.8809523809523809,125.0,1666661485.0,53.0,0.5634920634920635,255.0,513.0,6.0,270.0,47.0,744.0,2.0,4.0,535.0,27.0,5.0,0.0,0.0,255.61343000000008
4.0,3.0,109.0,1113309400.0,1942735139.0,0.6777777777777778,125.0,1673215087.0,53.0,0.5634920634920635,261.0,513.0,6.0,270.0,47.0,744.0,2.0,4.0,535.0,27.0,5.0,0.0,0.0,255.61343000000008
5.0,3.0,127.0,1391824411.0,1401849570.0,0.734920634920635,96.0,1648371865.0,64.0,0.5380952380952381,247.0,391.0,8.0,247.0,60.0,771.0,4.0,3.0,543.0,19.0,5.0,0.0,0.0,255.73230000000004
4.0,3.0,107.0,1120208208.0,1367754965.0,0.8809523809523809,74.0,1118039053.0,60.0,0.6142857142857143,216.0,406.0,8.0,249.0,57.0,924.0,4.0,3.0,543.0,27.0,7.0,0.0,0.0,256.4051400000001
4.0,4.0,97.0,1195686444.0,1993231552.0,0.607936507936508,124.0,1677700462.0,53.0,0.5571428571428572,222.0,422.0,6.0,248.0,37.0,896.0,2.0,1.0,535.0,27.0,5.0,0.0,0.0,256.3830700000001
6.0,4.0,105.0,1325679348.0,1401349214.0,0.734920634920635,93.0,1113040334.0,53.0,0.5825396825396826,223.0,422.0,7.0,248.0,37.0,896.0,4.0,3.0,535.0,27.0,5.0,0.0,0.0,255.94070000000002
4.0,3.0,104.0,1121275508.0,1401353303.0,0.7476190476190476,93.0,1390322890.0,53.0,0.5825396825396826,210.0,418.0,7.0,248.0,39.0,896.0,4.0,3.0,570.0,19.0,5.0,0.0,0.0,255.92757000000006
7.0,4.0,123.0,1167415960.0,1363076979.0,0.734920634920635,93.0,1683219618.0,51.0,0.7158730158730159,225.0,669.0,5.0,248.0,37.0,896.0,4.0,3.0,535.0,27.0,5.0,0.0,0.0,255.91756000000004
6.0,4.0,118.0,1124346867.0,1403495518.0,0.5317460317460317,120.0,1120118116.0,60.0,0.6333333333333333,248.0,421.0,7.0,248.0,37.0,802.0,4.0,3.0,536.0,27.0,5.0,0.0,0.0,255.72154000000006
6.0,4.0,121.0,1191455731.0,1395106656.0,0.734920634920635,120.0,1120380260.0,60.0,0.6841269841269841,248.0,421.0,7.0,248.0,37.0,802.0,4.0,3.0,536.0,27.0,5.0,0.0,0.0,255.72154000000006
5.0,4.0,123.0,1431981636.0,1604645925.0,0.7285714285714285,93.0,1649553240.0,59.0,0.5317460317460317,173.0,792.0,7.0,248.0,37.0,892.0,4.0,4.0,535.0,27.0,5.0,0.0,0.0,255.91756000000004
