spark.executor.memory,spark.executor.instances,runtime
6.0,6.0,209.64812
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
7.0,8.0,201.47575
6.0,8.0,190.52007
6.0,6.0,209.64812
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
6.0,8.0,190.52007
