spark.executor.memory,spark.shuffle.compress,spark.memory.storageFraction,spark.kryoserializer.buffer.max,spark.scheduler.revive.interval,spark.memory.fraction,runtime
14.0,1.0,0.8746031746031746,65.0,835.0,0.5634920634920635,233.87275578430908
14.0,0.0,0.6777777777777778,124.0,640.0,0.8746031746031746,206.15931178696212
14.0,1.0,0.6015873015873016,124.0,768.0,0.8428571428571429,186.91483516349547
12.0,1.0,0.6396825396825396,124.0,745.0,0.5317460317460317,189.25534823165037
14.0,1.0,0.6587301587301587,124.0,511.0,0.7603174603174603,184.5471507677108
14.0,1.0,0.5571428571428572,124.0,552.0,0.753968253968254,193.38081265642546
14.0,1.0,0.6587301587301587,124.0,554.0,0.607936507936508,174.16012990696274
12.0,1.0,0.6523809523809524,124.0,555.0,0.6206349206349207,173.2235572511853
11.0,1.0,0.734920634920635,124.0,555.0,0.6206349206349207,235.41973019798036
14.0,1.0,0.5380952380952381,124.0,608.0,0.6206349206349207,200.29278471612915
12.0,1.0,0.6523809523809524,124.0,572.0,0.6206349206349207,176.43453885721902
12.0,1.0,0.6396825396825396,124.0,611.0,0.6206349206349207,183.63043077002013
14.0,1.0,0.8047619047619048,124.0,671.0,0.607936507936508,185.70353283521507
13.0,1.0,0.5,124.0,947.0,0.6206349206349207,179.28144103952718
12.0,1.0,0.6777777777777778,124.0,580.0,0.607936507936508,183.85015871940413
12.0,0.0,0.5190476190476191,124.0,580.0,0.6396825396825396,224.43474894304182
12.0,1.0,0.5952380952380952,124.0,651.0,0.6460317460317461,184.63743317112542
14.0,1.0,0.626984126984127,124.0,930.0,0.7793650793650794,150.589833336789
12.0,1.0,0.5698412698412698,123.0,611.0,0.607936507936508,193.83640234315618
12.0,1.0,0.5952380952380952,123.0,604.0,0.6015873015873016,191.67531965119696
14.0,1.0,0.6841269841269841,123.0,645.0,0.626984126984127,186.01690459894127
12.0,1.0,0.7095238095238096,123.0,854.0,0.7793650793650794,181.3958393894633
14.0,1.0,0.5063492063492063,123.0,865.0,0.7793650793650794,187.15728100902177
14.0,1.0,0.8746031746031746,91.0,841.0,0.626984126984127,208.651740188116
13.0,0.0,0.6460317460317461,123.0,675.0,0.6968253968253968,200.33173864357332
13.0,0.0,0.6523809523809524,123.0,675.0,0.6333333333333333,199.32473624246802
12.0,0.0,0.7222222222222222,123.0,609.0,0.665079365079365,207.2334858967186
14.0,0.0,0.7285714285714285,123.0,609.0,0.665079365079365,207.2334858967186
13.0,0.0,0.8682539682539683,123.0,738.0,0.6841269841269841,223.75304762394555
14.0,0.0,0.5317460317460317,123.0,738.0,0.734920634920635,221.7757848931116
