spark.executor.memory,spark.kryoserializer.buffer.max,spark.shuffle.compress,spark.maxRemoteBlockSizeFetchToMem,runtime
14.0,128.0,0.0,1757486366.0,288.4848199999997
14.0,45.0,1.0,2098811318.0,287.4548999999999
14.0,128.0,0.0,2116068747.0,287.4969299999999
14.0,40.0,0.0,2127673778.0,287.4969299999999
14.0,119.0,0.0,2114102679.0,287.4969299999999
14.0,114.0,0.0,1971683428.0,287.88425999999987
14.0,84.0,0.0,1914138298.0,287.9099599999998
14.0,110.0,1.0,1682164325.0,288.48939999999965
14.0,67.0,1.0,2026318451.0,287.77158999999983
14.0,110.0,1.0,1544940356.0,288.53969999999964
14.0,96.0,0.0,1709243740.0,288.48939999999965
14.0,81.0,0.0,1713332386.0,288.48939999999965
14.0,81.0,0.0,1774131035.0,288.4848199999997
14.0,118.0,0.0,1806751553.0,288.1532799999997
14.0,110.0,0.0,1750059441.0,288.4848199999997
14.0,109.0,0.0,1785725276.0,288.3850099999997
14.0,83.0,1.0,1838149300.0,288.14035999999965
14.0,128.0,1.0,1959575296.0,287.95279999999985
14.0,55.0,0.0,2066967293.0,287.8388399999999
14.0,118.0,0.0,1957915336.0,287.95279999999985
14.0,126.0,1.0,1832160018.0,288.14035999999965
14.0,128.0,0.0,2095100801.0,287.4548999999999
14.0,95.0,1.0,2094837745.0,287.4548999999999
14.0,70.0,1.0,2091036670.0,287.6705899999999
14.0,52.0,1.0,2141196414.0,287.5994799999999
14.0,128.0,1.0,2133456188.0,287.4969299999999
14.0,96.0,1.0,2019431106.0,287.79809999999986
14.0,123.0,1.0,2130101708.0,287.4969299999999
14.0,49.0,0.0,2121076545.0,287.4969299999999
14.0,49.0,0.0,2120376700.0,287.4969299999999
