spark.executor.memory,spark.kryoserializer.buffer,spark.executor.cores,runtime
11.0,87.0,6.0,290.02872059016937
11.0,111.0,4.0,290.02872059016937
11.0,121.0,5.0,290.02872059016937
11.0,115.0,6.0,290.02872059016937
11.0,62.0,6.0,290.02872059016937
11.0,59.0,6.0,290.02872059016937
11.0,38.0,5.0,290.02872059016937
11.0,67.0,5.0,290.02872059016937
11.0,62.0,6.0,290.02872059016937
11.0,96.0,6.0,290.02872059016937
11.0,64.0,6.0,290.02872059016937
11.0,87.0,7.0,290.02872059016937
11.0,74.0,6.0,290.02872059016937
11.0,125.0,7.0,290.02872059016937
11.0,77.0,5.0,290.02872059016937
11.0,124.0,5.0,290.02872059016937
11.0,34.0,4.0,290.02872059016937
11.0,96.0,4.0,290.02872059016937
11.0,78.0,7.0,290.02872059016937
11.0,34.0,4.0,290.02872059016937
11.0,128.0,4.0,290.02872059016937
11.0,78.0,4.0,290.02872059016937
11.0,95.0,7.0,290.02872059016937
11.0,114.0,5.0,290.02872059016937
11.0,59.0,6.0,290.02872059016937
11.0,40.0,4.0,290.02872059016937
11.0,128.0,5.0,290.02872059016937
11.0,125.0,6.0,290.02872059016937
11.0,128.0,5.0,290.02872059016937
11.0,128.0,5.0,290.02872059016937
