spark.executor.memory,spark.executor.cores,spark.shuffle.compress,spark.executor.memoryOverhead,spark.memory.fraction,runtime
14.0,6.0,1.0,1048.0,0.5380952380952381,250.4944806140043
14.0,7.0,1.0,1135.0,0.6460317460317461,247.26243418087276
12.0,6.0,1.0,1133.0,0.6587301587301587,247.75623694305122
11.0,7.0,1.0,979.0,0.5063492063492063,239.78638916922318
13.0,7.0,1.0,972.0,0.5317460317460317,243.688271411396
14.0,6.0,1.0,922.0,0.5380952380952381,245.02700269188023
12.0,6.0,1.0,476.0,0.5,261.54114175480197
11.0,6.0,1.0,799.0,0.5,240.8209270481718
12.0,6.0,1.0,1055.0,0.6142857142857143,247.99955755206543
13.0,4.0,1.0,1115.0,0.5126984126984127,244.9538606783227
13.0,6.0,1.0,881.0,0.6333333333333333,248.8486545826538
14.0,7.0,1.0,836.0,0.7920634920634921,259.70655673844686
13.0,6.0,1.0,844.0,0.6714285714285715,262.5186293862515
11.0,6.0,1.0,856.0,0.5761904761904761,253.20988412674023
14.0,6.0,1.0,863.0,0.5380952380952381,244.2483197562375
12.0,6.0,1.0,1000.0,0.5380952380952381,241.18932947146732
12.0,6.0,1.0,1079.0,0.626984126984127,248.66804718256327
13.0,6.0,1.0,1047.0,0.5253968253968254,250.4944806140043
14.0,7.0,1.0,1404.0,0.7285714285714285,260.77897196847175
12.0,7.0,1.0,1167.0,0.7285714285714285,260.0556511947965
14.0,7.0,1.0,1176.0,0.6523809523809524,258.18615282416624
13.0,6.0,1.0,546.0,0.6142857142857143,261.2313902369943
11.0,6.0,1.0,907.0,0.5190476190476191,243.3211388946953
13.0,7.0,1.0,1329.0,0.8428571428571429,277.5014641425189
14.0,7.0,1.0,1123.0,0.8555555555555556,265.01985518514925
12.0,7.0,1.0,940.0,0.734920634920635,259.5241950359969
13.0,7.0,1.0,890.0,0.5380952380952381,243.66760322163424
12.0,7.0,1.0,852.0,0.8428571428571429,257.1709681875283
14.0,6.0,1.0,861.0,0.6460317460317461,248.8486545826538
14.0,7.0,1.0,782.0,0.5317460317460317,245.26596961516597
