spark.broadcast.blockSize,spark.broadcast.checksum,spark.broadcast.compress,spark.cleaner.periodicGC.interval,spark.cleaner.referenceTracking,spark.cleaner.referenceTracking.blocking,spark.cleaner.referenceTracking.blocking.shuffle,spark.cleaner.referenceTracking.cleanCheckpoints,spark.default.parallelism,spark.driver.cores,spark.driver.maxResultSize,spark.driver.memory,spark.driver.memoryOverhead,spark.executor.cores,spark.executor.heartbeatInterval,spark.executor.instances,spark.executor.memory,spark.files.fetchTimeout,spark.files.maxPartitionBytes,spark.files.openCostInBytes,spark.files.overwrite,spark.files.useFetchCache,spark.hadoop.mapreduce.fileoutputcommitter.algorithm.version,spark.io.compression.codec,spark.io.compression.lz4.blockSize,spark.io.compression.snappy.blockSize,spark.kryo.referenceTracking,spark.kryoserializer.buffer,spark.kryoserializer.buffer.max,spark.locality.wait,spark.maxRemoteBlockSizeFetchToMem,spark.memory.fraction,spark.memory.offHeap.enabled,spark.memory.offHeap.size,spark.memory.storageFraction,spark.memory.useLegacyMode,spark.network.timeout,spark.port.maxRetries,spark.python.worker.memory,spark.python.worker.reuse,spark.rdd.compress,spark.reducer.maxBlocksInFlightPerAddress,spark.reducer.maxReqsInFlight,spark.reducer.maxSizeInFlight,spark.rpc.io.backLog,spark.rpc.lookupTimeout,spark.rpc.message.maxSize,spark.rpc.retry.wait,spark.scheduler.blacklist.unschedulableTaskSetTimeout,spark.scheduler.listenerbus.eventqueue.capacity,spark.scheduler.minRegisteredResourcesRatio,spark.scheduler.mode,spark.scheduler.revive.interval,spark.serializer,spark.serializer.objectStreamReset,spark.shuffle.compress,spark.shuffle.file.buffer,spark.shuffle.io.backLog,spark.shuffle.io.maxRetries,spark.shuffle.io.numConnectionsPerPeer,spark.shuffle.io.preferDirectBufs,spark.shuffle.maxChunksBeingTransferred,spark.shuffle.memoryFraction,spark.shuffle.service.index.cache.size,spark.shuffle.sort.bypassMergeThreshold,spark.shuffle.spill.compress,spark.speculation,spark.speculation.interval,spark.speculation.multiplier,spark.speculation.quantile,spark.stage.maxConsecutiveAttempts,spark.storage.memoryFraction,spark.storage.memoryMapThreshold,spark.storage.replication.proactive,spark.storage.unrollFraction,spark.streaming.backpressure.enabled,spark.streaming.blockInterval,spark.streaming.receiver.writeAheadLog.enable,spark.streaming.stopGracefullyOnShutdown,spark.streaming.unpersist,spark.task.maxFailures,spark.task.reaper.enabled,spark.task.reaper.pollingInterval,spark.task.reaper.threadDump,runtime
46.0,1.0,0.0,90.0,0.0,1.0,1.0,0.0,177.0,12.0,392.0,20.0,1829.0,10.0,5.0,5.0,2.0,56.0,115593715.0,8388608.0,1.0,0.0,1.0,2.0,66.0,7.0,1.0,63.0,100.0,4.0,1238358071.0,0.8412698412698413,0.0,692.0,0.753968253968254,1.0,113.0,5.0,811.0,1.0,1.0,2121472162.0,331833665.0,254.0,90.0,50.0,168.0,3.0,206.0,4580.0,0.8419354838709677,1.0,26.0,1.0,125.0,0.0,124.0,85.0,10.0,5.0,0.0,3.901484958498342e+18,0.07086614173228346,135.0,463.0,1.0,1.0,156.0,4.904109589041096,0.5984251968503937,5.0,0.6614173228346457,214.0,0.0,0.6141732283464567,0.0,169.0,0.0,1.0,0.0,4.0,1.0,14.0,1.0,58.911
46.0,1.0,0.0,90.0,0.0,1.0,0.0,0.0,177.0,12.0,392.0,20.0,1829.0,10.0,5.0,5.0,2.0,56.0,115593715.0,8388608.0,0.0,1.0,1.0,2.0,212.0,74.0,0.0,97.0,50.0,8.0,1440759059.0,0.6666666666666666,1.0,112.0,0.746031746031746,1.0,113.0,5.0,811.0,1.0,1.0,2121472162.0,331833665.0,254.0,90.0,73.0,168.0,3.0,206.0,4587.0,0.8419354838709677,1.0,41.0,1.0,125.0,0.0,124.0,85.0,10.0,5.0,0.0,3.901484081519707e+18,0.07086614173228346,135.0,248.0,1.0,1.0,156.0,4.904109589041096,0.5984251968503937,5.0,0.6614173228346457,269.0,0.0,0.6141732283464567,0.0,169.0,0.0,1.0,0.0,4.0,1.0,14.0,1.0,54.11
46.0,1.0,0.0,14.0,0.0,1.0,1.0,0.0,177.0,12.0,392.0,20.0,1829.0,10.0,20.0,5.0,2.0,56.0,115593484.0,7098912.0,1.0,0.0,1.0,2.0,66.0,7.0,1.0,63.0,100.0,4.0,1311784925.0,0.746031746031746,1.0,975.0,0.5634920634920635,1.0,167.0,22.0,870.0,1.0,0.0,2032824131.0,1520199745.0,56.0,95.0,125.0,194.0,6.0,57.0,12553.0,0.7903225806451613,0.0,50.0,0.0,285.0,0.0,95.0,119.0,3.0,5.0,0.0,2.5418493578939453e+18,0.07086614173228346,135.0,472.0,1.0,1.0,156.0,4.874755381604697,0.5984251968503937,5.0,0.6771653543307087,214.0,0.0,0.5118110236220472,0.0,169.0,0.0,1.0,0.0,4.0,1.0,14.0,1.0,51.109
46.0,1.0,0.0,90.0,0.0,1.0,1.0,0.0,178.0,12.0,392.0,20.0,1829.0,10.0,5.0,5.0,3.0,90.0,268435456.0,3216763.0,1.0,1.0,1.0,1.0,136.0,174.0,0.0,91.0,117.0,7.0,1491078042.0,0.746031746031746,0.0,312.0,0.5555555555555556,0.0,101.0,32.0,739.0,1.0,0.0,949546289.0,598433121.0,447.0,69.0,240.0,345.0,3.0,109.0,4580.0,0.8419354838709677,1.0,26.0,1.0,125.0,0.0,124.0,85.0,10.0,5.0,0.0,3.9014846315439565e+18,0.07086614173228346,135.0,974.0,1.0,1.0,156.0,4.904109589041096,0.5984251968503937,5.0,0.6614173228346457,214.0,0.0,0.6141732283464567,0.0,169.0,0.0,1.0,0.0,4.0,1.0,14.0,1.0,53.437
46.0,1.0,0.0,14.0,0.0,1.0,1.0,0.0,222.0,12.0,392.0,20.0,1829.0,10.0,5.0,5.0,2.0,56.0,115555494.0,5221855.0,1.0,0.0,1.0,2.0,66.0,7.0,1.0,63.0,100.0,4.0,1445996873.0,0.5873015873015873,1.0,651.0,0.8492063492063492,1.0,317.0,16.0,385.0,1.0,0.0,930943088.0,331816659.0,254.0,90.0,50.0,168.0,3.0,205.0,4580.0,0.8483870967741935,1.0,26.0,1.0,125.0,0.0,124.0,85.0,4.0,5.0,0.0,3.9015643459020984e+18,0.07086614173228346,135.0,472.0,1.0,1.0,156.0,3.6516634050880628,0.5984251968503937,5.0,0.6614173228346457,214.0,0.0,0.889763779527559,0.0,443.0,0.0,1.0,0.0,4.0,1.0,14.0,1.0,53.454
46.0,1.0,0.0,37.0,0.0,0.0,1.0,0.0,222.0,12.0,389.0,20.0,1829.0,10.0,5.0,5.0,2.0,56.0,115593484.0,7098912.0,1.0,0.0,1.0,2.0,66.0,7.0,1.0,63.0,100.0,4.0,1311784925.0,0.7380952380952381,1.0,980.0,0.5634920634920635,1.0,167.0,22.0,870.0,1.0,0.0,2032824131.0,1521179986.0,447.0,69.0,240.0,297.0,2.0,199.0,20000.0,0.8032258064516129,1.0,11.0,0.0,135.0,1.0,211.0,106.0,6.0,5.0,0.0,3.9014849584983675e+18,0.07086614173228346,135.0,239.0,1.0,1.0,160.0,1.1467710371819961,0.5984251968503937,5.0,0.5905511811023622,214.0,0.0,0.6141732283464567,0.0,442.0,0.0,1.0,0.0,4.0,1.0,14.0,1.0,50.718
46.0,0.0,0.0,37.0,0.0,0.0,1.0,0.0,222.0,12.0,389.0,20.0,1829.0,10.0,5.0,5.0,2.0,56.0,152841971.0,7098912.0,1.0,0.0,2.0,2.0,66.0,7.0,1.0,63.0,100.0,4.0,1311784925.0,0.7380952380952381,1.0,980.0,0.5634920634920635,1.0,167.0,22.0,870.0,1.0,0.0,2032824131.0,1521179986.0,447.0,69.0,50.0,89.0,2.0,109.0,2532.0,0.8419354838709677,1.0,26.0,1.0,133.0,1.0,69.0,85.0,10.0,5.0,0.0,3.901484961993901e+18,0.07086614173228346,135.0,239.0,1.0,1.0,160.0,1.1467710371819961,0.5984251968503937,5.0,0.5905511811023622,237.0,0.0,0.6141732283464567,0.0,457.0,0.0,1.0,0.0,4.0,1.0,14.0,1.0,50.949
79.0,0.0,1.0,86.0,1.0,0.0,0.0,0.0,38.0,2.0,129.0,20.0,989.0,10.0,20.0,5.0,7.0,59.0,115593713.0,4758504.0,0.0,1.0,1.0,1.0,170.0,215.0,1.0,3.0,117.0,10.0,1121574190.0,0.9761904761904762,1.0,810.0,0.6825396825396826,1.0,445.0,7.0,386.0,1.0,0.0,919409986.0,600350419.0,194.0,91.0,50.0,89.0,3.0,109.0,10146.0,0.8225806451612904,1.0,2.0,1.0,262.0,0.0,389.0,85.0,4.0,5.0,1.0,4.953324389452292e+18,0.937007874015748,200.0,1000.0,0.0,1.0,1000.0,4.405088062622309,0.6771653543307087,8.0,0.08661417322834646,372.0,1.0,0.33858267716535434,1.0,337.0,1.0,0.0,0.0,7.0,1.0,20.0,0.0,51.94
79.0,0.0,1.0,86.0,1.0,0.0,0.0,0.0,38.0,3.0,129.0,20.0,989.0,10.0,20.0,5.0,2.0,56.0,219950606.0,4828639.0,1.0,0.0,1.0,2.0,66.0,7.0,1.0,63.0,100.0,4.0,1238358071.0,0.8412698412698413,0.0,692.0,0.753968253968254,1.0,122.0,16.0,414.0,0.0,0.0,922939249.0,335077694.0,19.0,86.0,240.0,443.0,3.0,56.0,19876.0,0.8096774193548387,1.0,25.0,1.0,125.0,0.0,69.0,82.0,10.0,5.0,1.0,4.953324389452292e+18,0.937007874015748,200.0,122.0,0.0,1.0,1000.0,4.405088062622309,0.6771653543307087,6.0,0.08661417322834646,372.0,1.0,0.31496062992125984,1.0,337.0,1.0,0.0,0.0,7.0,1.0,20.0,0.0,49.807
82.0,0.0,1.0,86.0,1.0,0.0,0.0,0.0,38.0,12.0,392.0,20.0,1829.0,10.0,5.0,5.0,2.0,56.0,115555675.0,8388608.0,1.0,0.0,1.0,2.0,66.0,124.0,1.0,36.0,100.0,4.0,1238313304.0,0.8412698412698413,0.0,692.0,0.753968253968254,1.0,97.0,16.0,998.0,1.0,1.0,2039284898.0,205037266.0,253.0,90.0,38.0,326.0,4.0,59.0,19362.0,0.8225806451612904,1.0,2.0,1.0,262.0,0.0,124.0,82.0,4.0,5.0,0.0,3.9015645516706043e+18,0.937007874015748,200.0,1000.0,0.0,0.0,1000.0,4.405088062622309,0.6771653543307087,6.0,0.08661417322834646,372.0,1.0,0.6850393700787402,1.0,337.0,1.0,0.0,0.0,7.0,1.0,20.0,0.0,52.767
