spark.shuffle.compress,spark.executor.memoryOverhead,runtime
1.0,1289.0,250.81155
1.0,1290.0,250.81155
1.0,1243.0,250.87172
1.0,1720.0,254.2739
1.0,1455.0,254.2739
1.0,1629.0,254.2739
1.0,1288.0,250.81155
1.0,1433.0,254.2739
1.0,1289.0,250.81155
1.0,1291.0,250.81155
1.0,1603.0,254.2739
1.0,1484.0,254.2739
1.0,1288.0,250.81155
1.0,1246.0,250.87172
1.0,1245.0,250.87172
1.0,1247.0,250.87172
1.0,1726.0,254.2739
1.0,1432.0,254.2739
1.0,1598.0,254.2739
1.0,1286.0,250.81155
1.0,1447.0,254.2739
1.0,1575.0,254.2739
1.0,1290.0,250.81155
1.0,1578.0,254.2739
1.0,1631.0,254.2739
1.0,1561.0,254.2739
1.0,1706.0,254.2739
1.0,1663.0,254.2739
1.0,1734.0,254.2739
1.0,1555.0,254.2739
