spark.executor.memoryOverhead,spark.kryoserializer.buffer.max,spark.shuffle.compress,spark.kryoserializer.buffer,spark.broadcast.blockSize,spark.shuffle.file.buffer,runtime
1253.0,94.0,1.0,108.0,19.0,39.0,249.09012157867735
880.0,92.0,1.0,126.0,7.0,40.0,248.43813164336132
924.0,95.0,1.0,88.0,13.0,41.0,248.43813164336132
942.0,75.0,0.0,89.0,9.0,17.0,249.55085404394015
907.0,94.0,0.0,103.0,9.0,25.0,248.43813164336132
939.0,79.0,1.0,61.0,8.0,44.0,249.55085404394015
1107.0,63.0,1.0,68.0,8.0,44.0,247.5887619662955
1198.0,87.0,1.0,49.0,8.0,43.0,247.41566689972697
1085.0,89.0,1.0,49.0,8.0,43.0,248.43813164336132
1162.0,60.0,1.0,113.0,8.0,39.0,247.5887619662955
1139.0,61.0,0.0,69.0,13.0,42.0,247.5887619662955
1213.0,61.0,0.0,71.0,8.0,39.0,248.0079892649447
1051.0,93.0,0.0,74.0,13.0,29.0,248.43813164336132
989.0,71.0,0.0,127.0,11.0,34.0,249.55085404394015
1099.0,72.0,0.0,127.0,11.0,34.0,248.98125773575538
1195.0,95.0,0.0,127.0,11.0,46.0,247.41566689972697
969.0,61.0,0.0,97.0,14.0,39.0,248.15835827448026
1202.0,68.0,0.0,90.0,14.0,33.0,249.4004850344046
1079.0,63.0,0.0,120.0,12.0,38.0,248.15835827448026
1017.0,80.0,1.0,72.0,9.0,39.0,249.55085404394015
1059.0,95.0,0.0,75.0,13.0,34.0,248.43813164336132
1217.0,61.0,0.0,117.0,14.0,40.0,247.7299758748869
1167.0,80.0,0.0,114.0,13.0,35.0,248.52838930030575
906.0,80.0,0.0,108.0,8.0,43.0,249.55085404394015
1160.0,60.0,0.0,74.0,7.0,42.0,247.5887619662955
1209.0,95.0,1.0,120.0,10.0,32.0,248.28776263382582
1168.0,61.0,0.0,120.0,13.0,21.0,247.13589353084586
1254.0,84.0,0.0,102.0,14.0,25.0,247.62289797596375
1204.0,92.0,1.0,46.0,15.0,21.0,250.60379663005062
1182.0,84.0,0.0,102.0,8.0,23.0,247.41566689972697
