spark.shuffle.compress,spark.scheduler.mode,runtime
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
1.0,1.0,264.46494
