spark.executor.memory,spark.executor.cores,spark.kryoserializer.buffer,spark.executor.memoryOverhead,spark.shuffle.compress,runtime
14.0,7.0,110.0,1691.0,1.0,254.09116411603486
12.0,7.0,111.0,1702.0,1.0,254.13362265215693
13.0,6.0,117.0,1551.0,1.0,253.77163723326592
11.0,6.0,128.0,1729.0,1.0,249.10316093796646
13.0,6.0,124.0,1552.0,1.0,250.2739883730818
10.0,6.0,39.0,424.0,1.0,252.83996022819946
10.0,6.0,43.0,464.0,1.0,253.27944478241648
13.0,6.0,126.0,1675.0,1.0,251.62356801511632
13.0,6.0,39.0,862.0,1.0,248.24642572581348
13.0,7.0,113.0,1558.0,1.0,254.71414221999387
10.0,7.0,37.0,692.0,1.0,252.57107547502568
12.0,6.0,69.0,866.0,1.0,250.17210866702942
12.0,7.0,128.0,1744.0,1.0,248.21918069084165
11.0,7.0,128.0,1748.0,1.0,249.84605055435085
12.0,6.0,108.0,1714.0,1.0,253.77011432937627
12.0,7.0,76.0,967.0,1.0,254.63468681588537
10.0,7.0,37.0,528.0,1.0,251.4717847563114
13.0,7.0,127.0,1698.0,1.0,251.4168444958121
12.0,7.0,73.0,1074.0,1.0,254.63468681588537
10.0,7.0,45.0,440.0,1.0,252.88021704002767
12.0,7.0,108.0,576.0,1.0,254.51218598358489
14.0,6.0,123.0,1736.0,1.0,253.80887043281538
14.0,7.0,117.0,1692.0,1.0,254.87203481987424
11.0,6.0,125.0,1644.0,1.0,254.05476910616233
12.0,7.0,77.0,863.0,1.0,248.80393319514135
10.0,6.0,124.0,434.0,1.0,253.83545655900843
12.0,7.0,128.0,551.0,1.0,251.37504150696682
10.0,7.0,108.0,394.0,1.0,251.78062132271975
13.0,6.0,128.0,1573.0,1.0,247.07632456811123
13.0,6.0,122.0,1738.0,1.0,253.85132896893745
