spark.executor.memoryOverhead,spark.shuffle.sort.bypassMergeThreshold,spark.maxRemoteBlockSizeFetchToMem,spark.executor.memory,runtime
1273.0,271.0,1421714943.0,11.0,175.10260619557138
1497.0,354.0,1209887788.0,12.0,280.2691077256072
1289.0,271.0,1444532965.0,11.0,178.30723882830375
1577.0,329.0,1658157137.0,13.0,300.9343734375288
1245.0,270.0,1419561474.0,11.0,175.10260619557138
888.0,174.0,1733560044.0,11.0,379.76571969187273
1263.0,273.0,2085254496.0,11.0,175.10260619557138
815.0,174.0,1641129730.0,14.0,379.76571969187273
1274.0,167.0,2031915777.0,11.0,182.2174148549626
890.0,153.0,1781631333.0,11.0,379.76571969187273
1251.0,164.0,1562829632.0,11.0,182.2174148549626
888.0,186.0,1792027138.0,14.0,379.76571969187273
1282.0,164.0,1512559496.0,11.0,185.42204748769498
890.0,178.0,1221888490.0,11.0,379.76571969187273
1251.0,470.0,1915470181.0,11.0,243.60958335235998
889.0,249.0,1104368142.0,11.0,379.76571969187273
1283.0,470.0,1359893292.0,12.0,243.60958335235998
856.0,224.0,1725912826.0,10.0,379.76571969187273
1251.0,469.0,2125628793.0,11.0,243.60958335235998
890.0,274.0,1271785946.0,11.0,372.6509110324815
1251.0,426.0,1579614652.0,12.0,243.60958335235998
888.0,186.0,1373452102.0,11.0,379.76571969187273
1283.0,414.0,2136769907.0,11.0,243.60958335235998
883.0,224.0,1121827338.0,11.0,379.76571969187273
1283.0,413.0,1195234259.0,12.0,243.60958335235998
880.0,178.0,1622374789.0,11.0,379.76571969187273
1283.0,476.0,1563415263.0,11.0,243.60958335235998
861.0,272.0,1352849736.0,11.0,372.6509110324815
1283.0,414.0,1562878975.0,11.0,243.60958335235998
858.0,227.0,1088109446.0,10.0,379.76571969187273
