spark.executor.cores,spark.executor.memory,spark.reducer.maxBlocksInFlightPerAddress,spark.executor.instances,spark.executor.memoryOverhead,spark.storage.memoryMapThreshold,spark.memory.fraction,spark.memory.storageFraction,spark.shuffle.compress,spark.maxRemoteBlockSizeFetchToMem,spark.shuffle.file.buffer,spark.default.parallelism,spark.shuffle.io.numConnectionsPerPeer,spark.kryoserializer.buffer.max,spark.broadcast.blockSize,spark.reducer.maxSizeInFlight,spark.scheduler.mode,spark.locality.wait,spark.memory.offHeap.size,spark.shuffle.sort.bypassMergeThreshold,spark.reducer.maxReqsInFlight,spark.scheduler.revive.interval,runtime
7.0,14.0,1985646336.0,11.0,1385.0,7.0,0.6587301587301587,0.5698412698412698,1.0,1635543808.0,41.0,387.0,4.0,57.0,30.0,32.0,0.0,3.0,0.0,306.0,1558098688.0,976.0,492.048
7.0,14.0,1709496583.0,10.0,1380.0,7.0,0.8365079365079365,0.8809523809523809,0.0,1613158502.0,35.0,337.0,3.0,76.0,19.0,29.0,0.0,3.0,0.0,100.0,1642061703.0,724.0,492.048
6.0,14.0,1986534400.0,8.0,1330.0,5.0,0.734920634920635,0.6460317460317461,1.0,1431466751.0,38.0,284.0,3.0,99.0,20.0,38.0,0.0,1.0,809.0,257.0,1836253952.0,756.0,492.048
7.0,14.0,1647779076.0,11.0,1285.0,5.0,0.7095238095238096,0.6777777777777778,1.0,2146215301.0,42.0,395.0,4.0,61.0,31.0,26.0,1.0,3.0,0.0,250.0,1756427264.0,812.0,492.048
6.0,14.0,1986533631.0,14.0,1141.0,6.0,0.5063492063492063,0.7984126984126985,0.0,1431466793.0,40.0,397.0,4.0,64.0,31.0,34.0,1.0,3.0,9.0,257.0,1836253952.0,756.0,492.048
7.0,13.0,1748205113.0,11.0,1526.0,7.0,0.5507936507936508,0.753968253968254,1.0,1766055331.0,34.0,350.0,4.0,64.0,62.0,35.0,1.0,8.0,693.0,300.0,1888043008.0,817.0,492.048
7.0,14.0,1441486857.0,11.0,1141.0,2.0,0.8873015873015873,0.5380952380952381,1.0,1471325684.0,39.0,280.0,3.0,87.0,18.0,35.0,0.0,1.0,851.0,257.0,1822505234.0,762.0,492.048
6.0,14.0,2000200707.0,8.0,963.0,7.0,0.6015873015873016,0.6396825396825396,0.0,1239849600.0,43.0,218.0,4.0,77.0,31.0,35.0,0.0,2.0,853.0,469.0,1550497792.0,928.0,492.048
7.0,13.0,1924457633.0,11.0,1322.0,1.0,0.8301587301587301,0.7793650793650794,0.0,1916079488.0,41.0,316.0,3.0,65.0,16.0,53.0,1.0,8.0,745.0,140.0,1606252392.0,928.0,492.048
6.0,14.0,1652149632.0,10.0,1328.0,5.0,0.734920634920635,0.7984126984126985,1.0,1376678911.0,34.0,349.0,4.0,64.0,62.0,35.0,1.0,8.0,697.0,138.0,1606252395.0,917.0,492.048
