spark.executor.memory,spark.executor.cores,spark.reducer.maxBlocksInFlightPerAddress,runtime
11.0,6.0,1975135662.0,253.39233565736993
10.0,6.0,1973914112.0,229.3593702557525
10.0,7.0,1796710400.0,232.4422807375062
10.0,7.0,1829568429.0,233.67321152976476
10.0,6.0,1846892802.0,235.4845950307515
10.0,6.0,1806135238.0,233.27735061021633
10.0,7.0,1890316560.0,234.05092584861973
10.0,7.0,1942478788.0,236.25055890463284
10.0,6.0,1783061478.0,233.27735061021633
10.0,7.0,1869369612.0,239.14948387911068
10.0,7.0,1823256366.0,233.67321152976476
10.0,6.0,1778696525.0,233.27735061021633
10.0,7.0,1913950601.0,234.87284581128182
10.0,6.0,1892420603.0,238.21286208516855
10.0,7.0,1792525852.0,232.4422807375062
10.0,7.0,1788860060.0,232.4422807375062
10.0,7.0,1775480591.0,232.4422807375062
10.0,7.0,1807227558.0,232.4422807375062
10.0,7.0,1801597612.0,232.4422807375062
10.0,6.0,1985219969.0,242.99010188378853
10.0,7.0,1847008530.0,233.67321152976476
10.0,6.0,1849443980.0,235.4845950307515
10.0,6.0,1864486673.0,241.73565755389822
10.0,7.0,1827003664.0,233.67321152976476
10.0,6.0,1862788428.0,241.73565755389822
10.0,7.0,1681608413.0,240.65167192065306
10.0,7.0,1615776407.0,244.4220602493065
10.0,6.0,1771259534.0,240.31836030616984
10.0,7.0,1837178888.0,233.67321152976476
10.0,6.0,1808395844.0,233.27735061021633
